,address1,city,cnty_cd,cooperator_address1,cooperator_address2,cooperator_city,cooperator_name,cooperator_state,cooperator_zip,county,description,fac_desc_short,fac_fax,fac_id,fac_opn_dat,fac_phone,fac_zip,facility_location,facility_name,latitude,longitude,main_site_facid,main_site_name,opcert_num,operator_address1,operator_address2,operator_city,operator_name,operator_state,operator_zip,ownership_type,region_office,ro_id,state
16,310 East 14th Street,New York,7093,One Gustave L. Levy Place,,New York,"Mount Sinai Hospitals Group, Inc.",New York,10029.0,New York,Hospital,HOSP,,1460,1901-01-01T00:00:00.000,2129794300.0,10003,"{'type': 'Point', 'coordinates': [-73.984711, 40.732189]}",New York Eye and Ear Infirmary of Mount Sinai,40.732189,-73.984711,,,7002026H,310 East 14 St,,New York,NY Eye and Ear Infirmary Inc,New York,10003,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
17,600 Roe Avenue,Elmira,7,600 Roe Avenue,,Elmira,Arnot Health Inc.,New York,14905.0,Chemung,Hospital,HOSP,,116,1901-01-01T00:00:00.000,6077374230.0,14905,"{'type': 'Point', 'coordinates': [-76.826782, 42.099285]}",Arnot Ogden Medical Center,42.099285,-76.826782,,,0701000H,600 Roe Avenue,,Elmira,Arnot Ogden Medical Center,New York,14901,Not for Profit Corporation,Western Regional Office - Rochester,2,New York
18,83 Amity Street,Brooklyn,7095,,,,,New York,,Kings,Hospital,HOSP,,9753,2014-10-31T00:00:00.000,,11201,"{'type': 'Point', 'coordinates': [-73.997478, 40.689615]}",NYU Langone Health-Cobble Hill,40.689615,-73.997478,1463.0,NYU Langone Hospitals,7002053H,550 First Avenue,,New York,NYU Langone Hospitals,New York,10016,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
19,4988 Sthwy 30,Amsterdam,28,,,,,New York,,Montgomery,Hospital,HOSP,,482,1901-01-01T00:00:00.000,5188423100.0,12010,"{'type': 'Point', 'coordinates': [-74.186272, 42.961201]}",St. Mary's Healthcare - Amsterdam Memorial Campus,42.961201,-74.186272,484.0,St. Mary's Healthcare,2801001H,427 Guy Park Ave,,Amsterdam,St. Mary's Healthcare,New York,12010,Not for Profit Corporation,Capital District Regional Office,4,New York
20,2525 Kings Highway,Brooklyn,7095,,,,,New York,,Kings,Hospital,HOSP,,1293,1901-01-01T00:00:00.000,7186925300.0,11229,"{'type': 'Point', 'coordinates': [-73.948967, 40.613419]}","New York Community Hospital of Brooklyn, Inc",40.613419,-73.948967,,,7001008H,2525 Kings Highway,,Brooklyn,"New York Community Hospital of Brooklyn,Inc",New York,11229,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
21,One Norton Avenue,Oneonta,38,1 Atwell Road,,Cooperstown,Bassett Healthcare Network,New York,13326.0,Otsego,Hospital,HOSP,,739,1901-01-01T00:00:00.000,6074322000.0,13820,"{'type': 'Point', 'coordinates': [-75.053261, 42.457405]}",Aurelia Osborn Fox Memorial Hospital,42.457405,-75.053261,,,3801000H,One Norton Avenue,,Oneonta,Aurelia Osborn Fox Memorial Hospital Society Inc,New York,13820,Not for Profit Corporation,Capital District Regional Office,4,New York
22,1300 Massachusetts Avenue,Troy,41,315 South Manning Boulevard,,Albany,St. Peter's Health Partners,New York,12208.0,Rensselaer,Hospital,HOSP,,755,1979-08-01T00:00:00.000,5182685000.0,12180,"{'type': 'Point', 'coordinates': [-73.675735, 42.743382]}",Samaritan Hospital - St. Mary's Campus,42.743382,-73.675735,756.0,Samaritan Hospital,4102002H,2215 Burdett Avenue,,Troy,Samaritan Hospital of Troy NY Inc,New York,12180,Not for Profit Corporation,Capital District Regional Office,4,New York
23,1500 N James St,Rome,32,,,,,New York,,Oneida,Hospital,HOSP,,589,1979-08-01T00:00:00.000,3153387000.0,13440,"{'type': 'Point', 'coordinates': [-75.443466, 43.229935]}","Rome Memorial Hospital, Inc",43.229935,-75.443466,,,3201002H,1500 North James Street,,Rome,"Rome Memorial Hospital, Inc",New York,13440,Not for Profit Corporation,Central New York Regional Office,3,New York
24,1 Brookdale Plaza,Brooklyn,7095,1 Brookdale Plaza,Care of Alex Rovt Chairman of the Board,Brooklyn,"One Brooklyn Health System, Inc.",New York,11212.0,Kings,Hospital,HOSP,,1286,1901-01-01T00:00:00.000,7182405276.0,11212-3139,"{'type': 'Point', 'coordinates': [-73.912579, 40.655066]}",Brookdale Hospital Medical Center,40.655066,-73.912579,,,7001002H,One Brookdale Plaza,,Brooklyn,The Brookdale Hospital Medical Center,New York,11212,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
25,6010 East Malloy Road,Syracuse,33,736 Irving Avenue,,Syracuse,"Crouse Health System, Inc.",New York,13210.0,Onondaga,Hospital,HOSP,3154378366.0,9059,2009-06-01T00:00:00.000,3154342470.0,13211,"{'type': 'Point', 'coordinates': [-76.098633, 43.099155]}",Crouse Hospital - Commonwealth Division,43.099155,-76.098633,636.0,Crouse Hospital,3301008H,736 Irving Avenue,,Syracuse,Crouse Health Hospital Inc,New York,13210,Not for Profit Corporation,Central New York Regional Office,3,New York
26,1230 York Avenue,New York,7093,,,,,New York,,New York,Hospital,HOSP,,1465,1901-01-01T00:00:00.000,2123277511.0,10021,"{'type': 'Point', 'coordinates': [-73.956512, 40.762962]}",Rockefeller University Hospital,40.762962,-73.956512,,,7002031H,1230 York Avenue,,New York,The Rockefeller University Inc,New York,10021,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
27,133 Park Street,Malone,16,111 Colchester Avenue,,Burlington,"The University of Vermont Health Network, Inc.",New York,5401.0,Franklin,Hospital,HOSP,,325,1901-01-01T00:00:00.000,5184833000.0,12953,"{'type': 'Point', 'coordinates': [-74.291893, 44.85677]}",The University of Vermont Health Network - Alice Hyde Medical Center,44.85677,-74.291893,,,1624000H,115 Park St,,Malone,Alice Hyde Medical Center,New York,12953,Not for Profit Corporation,Capital District Regional Office,4,New York
28,1825 Eastchester Rd,Bronx,7094,111 East 210th Street,,Bronx,"Montefiore Health System, Inc",New York,10467.0,Bronx,Hospital,HOSP,,3058,1901-01-01T00:00:00.000,7189042001.0,10461,"{'type': 'Point', 'coordinates': [-73.845055, 40.849575]}",Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,40.849575,-73.845055,1169.0,Montefiore Medical Center - Henry & Lucy Moses Div,7000006H,111 East 210th Street,,Bronx,Montefiore Medical Center,New York,10467,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
29,270-05 76th Ave,New Hyde Park,7096,2000 Marcus Ave.,,New Hyde Park,"Northwell Healthcare, Inc.",New York,11042.0,Queens,Hospital,HOSP,,1630,1901-01-01T00:00:00.000,7184707764.0,11040,"{'type': 'Point', 'coordinates': [-73.706848, 40.753349]}",Long Island Jewish Medical Center,40.753349,-73.706848,,,7003004H,270-05 76 Avenue,,New Hyde Park,Long Island Jewish Medical Center,New York,11040,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
30,25 Hackett Blvd,Albany,1,New Scotland Avenue,,Albany,Albany Medical Center,New York,12208.0,Albany,Hospital,HOSP,,2,1980-02-01T00:00:00.000,5182621200.0,12208,"{'type': 'Point', 'coordinates': [-73.77829, 42.645485]}",Albany Medical Center - South Clinical Campus,42.645485,-73.77829,1.0,Albany Medical Center Hospital,0101000H,New Scotland Avenue,,Albany,Albany Medical Center Hospital,New York,12208,Not for Profit Corporation,Capital District Regional Office,4,New York
31,1300 Roanoke Avenue,Riverhead,51,2000 Marcus Ave.,,New Hyde Park,"Northwell Healthcare, Inc.",New York,11042.0,Suffolk,Hospital,HOSP,,938,1901-01-01T00:00:00.000,5165486000.0,11901,"{'type': 'Point', 'coordinates': [-72.674278, 40.933643000000004]}",Peconic Bay Medical Center,40.933643,-72.674278,,,5155000H,1300 Roanoke,,Riverhead,Central Suffolk Hospital,New York,11901,Not for Profit Corporation,Metropolitan Area Regional Office - Long Island,7,New York
32,1275 York Avenue,New York,7093,,,,,New York,,New York,Hospital,HOSP,,1453,1901-01-01T00:00:00.000,2126392000.0,10065,"{'type': 'Point', 'coordinates': [-73.956812, 40.764386]}",Memorial Hospital for Cancer and Allied Diseases,40.764386,-73.956812,,,7002020H,1275 York Avenue,,New York,Memorial Hospital for Cancer and Allied Diseases Inc,New York,10021,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
33,234 East 149th Street,Bronx,7094,,,,,New York,,Bronx,Hospital,HOSP,,1172,1901-01-01T00:00:00.000,7185795700.0,10451,"{'type': 'Point', 'coordinates': [-73.92421, 40.817661]}",Lincoln Medical & Mental Health Center,40.817661,-73.92421,,,7000008H,125 Worth Street,,New York,New York City Health and Hospital Corporation,New York,10013,Municipality,Metropolitan Area Regional Office - New York City,5,New York
34,900 Franklin Avenue,Valley Stream,29,2000 Marcus Ave.,,New Hyde Park,"Northwell Healthcare, Inc.",New York,11042.0,Nassau,Hospital,HOSP,,518,1901-01-01T00:00:00.000,5162566000.0,11580,"{'type': 'Point', 'coordinates': [-73.685814, 40.681789]}",Long Island Jewish Valley Stream,40.681789,-73.685814,1630.0,Long Island Jewish Medical Center,7003004H,270-05 76 Avenue,,New Hyde Park,Long Island Jewish Medical Center,New York,11040,Not for Profit Corporation,Metropolitan Area Regional Office - Long Island,7,New York
35,71 Prospect Ave,Hudson,10,New Scotland Avenue,,Albany,Albany Medical Center,New York,12208.0,Columbia,Hospital,HOSP,,146,1901-01-01T00:00:00.000,5188287601.0,12534,"{'type': 'Point', 'coordinates': [-73.776306, 42.246239]}",Columbia Memorial Hospital,42.246239,-73.776306,,,1001000H,71 Prospect Avenue,,Hudson,Columbia Memorial Hospital,New York,12534,Not for Profit Corporation,Capital District Regional Office,4,New York
36,74 Bunner Street,Oswego,37,,,,,New York,,Oswego,Hospital,HOSP,,12,1981-02-01T00:00:00.000,3153495526.0,13126,"{'type': 'Point', 'coordinates': [-76.490562, 43.450497]}",Oswego Hospital - Alvin L Krakau Comm Mtl Health Center Div,43.450497,-76.490562,727.0,Oswego Hospital,3702000H,110 West Sixth Street,,Oswego,Oswego Hospital Inc,New York,13126,Not for Profit Corporation,Central New York Regional Office,3,New York
37,Two Park Avenue,Yonkers,59,967 North Broadway,,Yonkers,"Riverside Health Care System, Inc.",New York,10701.0,Westchester,Hospital,HOSP,,1099,1979-08-01T00:00:00.000,9149647300.0,10703,"{'type': 'Point', 'coordinates': [-73.892181, 40.939613]}",SJRH - Park Care Pavilion,40.939613,-73.892181,1097.0,SJRH - St Johns Division,5907001H,967 North Broadway,,Yonkers,St Johns Riverside Hospital Inc,New York,10701,Not for Profit Corporation,Metropolitan Area Regional Office - New Rochelle,6,New York
38,301 E 17th Street,New York,7093,,,,,New York,,New York,Hospital,HOSP,,1446,1980-02-01T00:00:00.000,2125986000.0,10003,"{'type': 'Point', 'coordinates': [-73.98307, 40.734127]}",NYU Langone Orthopedic Hospital,40.734127,-73.98307,1463.0,NYU Langone Hospitals,7002053H,550 First Avenue,,New York,NYU Langone Hospitals,New York,10016,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
39,529 Central Avenue,Dunkirk,6,,,,,New York,,Chautauqua,Hospital,HOSP,,98,1901-01-01T00:00:00.000,7163661111.0,14048,"{'type': 'Point', 'coordinates': [-79.33387, 42.480774]}","Brooks-TLC Hospital System, Inc.",42.480774,-79.33387,,,0601000H,529 Central Avenue,,Dunkirk,"Brooks-TLC Hospital System, Inc.",New York,14048,Not for Profit Corporation,Western Regional Office - Buffalo,1,New York
40,845 Routes 5&20,Irving,6,,,,,New York,,Chautauqua,Hospital,HOSP,,114,1980-08-01T00:00:00.000,7169517000.0,14081,"{'type': 'Point', 'coordinates': [-79.126991, 42.559372]}","Brooks-TLC Hospital System, Inc.",42.559372,-79.126991,98.0,"Brooks-TLC Hospital System, Inc.",0601000H,529 Central Avenue,,Dunkirk,"Brooks-TLC Hospital System, Inc.",New York,14048,Not for Profit Corporation,Western Regional Office - Buffalo,1,New York
41,99 East State Street,Gloversville,17,,,,,New York,,Fulton,Hospital,HOSP,,330,1901-01-01T00:00:00.000,5187258621.0,12078,"{'type': 'Point', 'coordinates': [-74.330643, 43.068096]}",Nathan Littauer Hospital,43.068096,-74.330643,,,1701000H,99 East State Street,,Gloversville,Nathan Littauer Hospital Inc,New York,12078,Not for Profit Corporation,Capital District Regional Office,4,New York
42,16 Guion Place,New Rochelle,59,111 East 210th Street,,Bronx,"Montefiore Health System, Inc",New York,10467.0,Westchester,Hospital,HOSP,9143671516.0,1072,1901-01-01T00:00:00.000,9143653700.0,10802,"{'type': 'Point', 'coordinates': [-73.787086, 40.913021]}",Montefiore New Rochelle Hospital,40.913021,-73.787086,,,5904001H,16 Guion Place,,New Rochelle,"Montefiore New Rochelle Hospital, Inc.",New York,10802,Not for Profit Corporation,Metropolitan Area Regional Office - New Rochelle,6,New York
43,Elm and Carlton Streets,Buffalo,14,,,,,New York,,Erie,Hospital,HOSP,,216,1901-01-01T00:00:00.000,7168452300.0,14263,"{'type': 'Point', 'coordinates': [-78.865013, 42.898525]}",Roswell Park Cancer Institute,42.898525,-78.865013,,,1401010H,Elm & Carlton Streets,,Buffalo,Roswell Park Cancer Institute Corporation,New York,14263,Public Benefit Corporation,Western Regional Office - Buffalo,1,New York
44,45 Reade Place,Poughkeepsie,13,Reade Place,,Poughkeepsie,Vassar Brothers Hospital Inc,New York,12601.0,Dutchess,Hospital,HOSP,,181,1901-01-01T00:00:00.000,8454548500.0,12601,"{'type': 'Point', 'coordinates': [-73.935799, 41.694523]}",Vassar Brothers Medical Center,41.694523,-73.935799,,,1302001H,45 Reade Place,,Poughkeepsie,"Health Quest Systems, Inc.",New York,12601,Not for Profit Corporation,Metropolitan Area Regional Office - New Rochelle,6,New York
45,101 St Andrews Lane,Glen Cove,29,2000 Marcus Ave.,,New Hyde Park,"Northwell Healthcare, Inc.",New York,11042.0,Nassau,Hospital,HOSP,,490,1901-01-01T00:00:00.000,5166747588.0,11542,"{'type': 'Point', 'coordinates': [-73.62159, 40.871731]}",Glen Cove Hospital,40.871731,-73.62159,,,2901000H,St Andrews Lane,,Glen Cove,Glen Cove Hospital,New York,11542,Not for Profit Corporation,Metropolitan Area Regional Office - Long Island,7,New York
46,169 Riverside Drive,Binghamton,3,,,,,New York,,Broome,Hospital,HOSP,,43,1901-01-01T00:00:00.000,6077985111.0,13905,"{'type': 'Point', 'coordinates': [-75.935646, 42.092606]}",Our Lady of Lourdes Memorial Hospital Inc,42.092606,-75.935646,,,0301001H,169 Riverside Drive,,Binghamton,Our Lady of Lourdes Memorial Hospital Inc,New York,13905,Not for Profit Corporation,Central New York Regional Office,3,New York
47,1555 Long Pond Road,Rochester,27,89 Genesee Street,,Rochester,Rochester Regional Health,New York,14611.0,Monroe,Hospital,HOSP,,471,1901-01-01T00:00:00.000,5857237000.0,14626,"{'type': 'Point', 'coordinates': [-77.701538, 43.191551]}",The Unity Hospital of Rochester,43.191551,-77.701538,,,2754001H,1555 Long Pond Road,,Rochester,Park Ridge Hospital Inc,New York,14626,Not for Profit Corporation,Western Regional Office - Rochester,2,New York
48,830 Washington St,Watertown,22,,,,,New York,,Jefferson,Hospital,HOSP,,367,1901-01-01T00:00:00.000,3157854000.0,13601,"{'type': 'Point', 'coordinates': [-75.912827, 43.964928]}",Samaritan Medical Center,43.964928,-75.912827,,,2201000H,830 Washington St,,Watertown,Samaritan Medical Center,New York,13601,Not for Profit Corporation,Central New York Regional Office,3,New York
49,400 North Main Street,Warsaw,60,,,,,New York,,Wyoming,Hospital,HOSP,,1153,1901-01-01T00:00:00.000,5857868940.0,14569,"{'type': 'Point', 'coordinates': [-78.132454, 42.753513]}",Wyoming County Community Hospital,42.753513,-78.132454,,,6027000H,Wyoming County Courthouse,,Warsaw,County of Wyoming,New York,14569,County,Western Regional Office - Buffalo,1,New York
50,374 Stockholm Street,Brooklyn,7095,,,,,New York,,Kings,Hospital,HOSP,,1318,1901-01-01T00:00:00.000,7189637101.0,11237,"{'type': 'Point', 'coordinates': [-73.91774, 40.704517]}",Wyckoff Heights Medical Center,40.704517,-73.91774,,,7001035H,374 Stockholm St,,Brooklyn,Wyckoff Heights Medical Center,New York,11237,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
51,1276 Fulton Avenue,Bronx,7094,,,,,New York,,Bronx,Hospital,HOSP,,1164,1901-01-01T00:00:00.000,7189018800.0,10456,"{'type': 'Point', 'coordinates': [-73.903656, 40.831772]}",BronxCare Hospital Center,40.831772,-73.903656,,,7000001H,1276 Fulton Avenue,,Bronx,BronxCare Health System,New York,10456,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
52,1650 Grand Concourse,Bronx,7094,,,,,New York,,Bronx,Hospital,HOSP,,1178,1901-01-01T00:00:00.000,7189018800.0,10457,"{'type': 'Point', 'coordinates': [-73.911545, 40.843609]}",BronxCare Hospital Center,40.843609,-73.911545,1164.0,BronxCare Hospital Center,7000001H,1276 Fulton Avenue,,Bronx,BronxCare Health System,New York,10456,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
53,411 Canisteo Street,Hornell,50,,,,,New York,,Steuben,Hospital,HOSP,,870,1901-01-01T00:00:00.000,6073248000.0,14843,"{'type': 'Point', 'coordinates': [-77.660164, 42.314438]}",St. James Hospital,42.314438,-77.660164,,,5002001H,411 Canisteo Street,,Hornell,St. James Hospital,New York,14843,Not for Profit Corporation,Western Regional Office - Rochester,2,New York
54,255 Lafayette Avenue,Suffern,43,255 Lafayette Avenue,,Suffern,Bon Secours Charity Health System Inc.,New York,10901.0,Rockland,Hospital,HOSP,,779,1901-01-01T00:00:00.000,8453685000.0,10901,"{'type': 'Point', 'coordinates': [-74.133003, 41.112255]}",Good Samaritan Hospital of Suffern,41.112255,-74.133003,,,4329000H,Route 59,,Suffern,Good Samaritan Hosp of Suffern,New York,10901,Not for Profit Corporation,Metropolitan Area Regional Office - New Rochelle,6,New York
55,670 Stoneleigh Avenue,Carmel,39,Stoneleigh Avenue,,Carmel,Putnam Hospital Center,New York,10512.0,Putnam,Hospital,HOSP,,752,1901-01-01T00:00:00.000,8452795711.0,10512,"{'type': 'Point', 'coordinates': [-73.664413, 41.384766]}",Putnam Hospital Center,41.384766,-73.664413,,,3950000H,Stoneleigh Avenue,,Carmel,"Health Quest Systems, Inc.",New York,10512,Not for Profit Corporation,Metropolitan Area Regional Office - New Rochelle,6,New York
56,355 Bard Avenue,Staten Island,7097,355 Bard Avenue,,Staten Island,Richmond University Medical Center,New York,10310.0,Richmond,Hospital,HOSP,,1738,1979-08-01T00:00:00.000,7188182413.0,10310,"{'type': 'Point', 'coordinates': [-74.106674, 40.635807]}",Richmond University Medical Center,40.635807,-74.106674,,,7004010H,355 Bard Avenue,,Staten Island,Bridge Regional Health System,New York,10310,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
57,301 Prospect Avenue,Syracuse,33,20555 Victor Parkway,,Livonia,Trinity Health Corporation,New York,48152.0,Onondaga,Hospital,HOSP,,630,1901-01-01T00:00:00.000,3154485111.0,13203,"{'type': 'Point', 'coordinates': [-76.149384, 43.055744]}",St. Joseph's Hospital Health Center,43.055744,-76.149384,,,3301003H,301 Prospect Avenue,,Syracuse,St Joseph's Hospital Health Center,New York,13203,Not for Profit Corporation,Central New York Regional Office,3,New York
58,301 Prospect Avenue,Syracuse,33,301 Prospect Ave.,,Syracuse,"St. Joseph's Health, Inc.",New York,13203.0,Onondaga,Hospital,HOSP,,630,1901-01-01T00:00:00.000,3154485111.0,13203,"{'type': 'Point', 'coordinates': [-76.149384, 43.055744]}",St. Joseph's Hospital Health Center,43.055744,-76.149384,,,3301003H,301 Prospect Avenue,,Syracuse,St Joseph's Hospital Health Center,New York,13203,Not for Profit Corporation,Central New York Regional Office,3,New York
