The Brooklyn Hospital Center,,,
Charge Master Pricing,,,
,,,
The charges listed are generally not the amount a patient will pay.,,,
,,,
Charge No,Charge Description, Standard Charges ,Comment
03612008,LITHOTRIPSY LOCAL 4.5 HRS," 11,880.00 ",
03612009,LITHOTRIPSY GENERAL 0.5 HR," 9,850.00 ",
03612010,LITHOTRIPSY GENERAL 1.0 HR," 10,350.00 ",
03612011,LITHOTRIPSY GENERAL 1.5 HRS," 10,850.00 ",
03612012,LITHOTRIPSY GENERAL 2.0 HRS," 11,350.00 ",
03612013,LITHOTRIPSY GENERAL 2.5 HRS," 11,850.00 ",
03612014,LITHOTRIPSY GENERAL 3.0 HRS," 12,350.00 ",
03612015,LITHOTRIPSY GENERAL 3.5 HRS," 12,850.00 ",
03612016,LITHOTRIPSY GENERAL 4.0 HRS," 13,350.00 ",
03612017,LITHOTRIPSY GENERAL 4.5 HRS," 13,850.00 ",
03600001,OR RM 1/2 HR," 5,467.80 ",
03600002,OR RM 1 HR," 9,112.99 ",
03600003,OR RM 1 1/2 HR," 12,758.19 ",
03600004,OR RM 2 HR," 16,403.38 ",
03600005,OR RM 2 1/2 HR," 20,048.58 ",
03600006,OR RM 3 HR," 23,693.77 ",
03600007,OR RM 3 1/2 HR," 27,338.97 ",
03600008,OR RM 4 HR," 30,984.16 ",
03600009,OR RM 4 1/2 HR," 34,629.36 ",
03600010,OR RM 5 HR," 38,274.55 ",
03600011,OR RM 5 1/2 HR," 41,919.75 ",
03600012,OR RM 6 HR," 45,564.94 ",
03600013,OR RM 6 1/2 HR," 49,210.15 ",
03600014,OR RM 7 HR," 52,855.34 ",
03600015,OR RM 7 1/2 HR," 56,500.54 ",
03600016,OR RM 8 HR," 60,145.73 ",
03600017,OR RM 8 1/2 HR," 63,790.93 ",
03600018,OR RM 9 HR," 67,436.12 ",
03600019,OR RM 9 1/2 HR," 71,081.32 ",
03600020,OR RM 10 HR," 74,726.51 ",
03600021,OR RM 10 1/2 HR," 78,371.71 ",
03600022,OR RM 11 HR," 82,016.90 ",
03600023,OR RM 11 1/2 HR," 85,662.10 ",
03600024,OR RM 12 HR," 89,307.29 ",
03600700,BLADES CUTTER 65K, 384.31 ,
03600718,OPHTHALTHALMIC CAUTERY, 201.99 ,
03600740,DUAL BEAVER SSLITE KNIFE, 81.31 ,
03600770,SPINAL NEEDLE, 39.81 ,
03600771,DRAINAGE BAG FOLEY, 68.85 ,
03600777,ADULT GROUNDING PAD, 21.97 ,
03600790,BLAKEMORE ESOPHEGAL, 595.70 ,
03600853,KNEE IMMOBILIZER, 112.91 ,
03600854,OMNIPAQUE PER ML, 495.82 ,
03601006,BURR HALL, 318.58 ,
03601007,BLADE ANSPACH, 329.87 ,
03601010,BLADE STRYKER, 39.81 ,
03601038,BRA SURGICAL, 54.38 ,
03601111,SPHINETERTOME, 955.78 ,
03601119,PEG, 508.05 ,
03601149,GASTROSTOMY KIT, 330.54 ,
03601162,STOCKINETTE, 40.64 ,
03601164,ENDOF SUCTION IRRIGATION, 53.77 ,
03601167,SKIN STAPLER, 47.80 ,
03601181,ETHICON BALLOON, 896.04 ,
03601190,BITE BLOCK, 29.85 ,
03601192,BRUSHES CYTOLOGY, 54.38 ,
03601193,BRUSHES CLEANING, 15.93 ,
03601196,BIOPSY FORCEP, 313.63 ,
03601407,EPIDURAL TRAY, 457.36 ,
03601409,MENISCUS CUTTER, 224.00 ,
03601750,"CATH,HEMODIALYSIS LONG TERM", 587.50 ,
03601820,"GENERATOR,NEURO RECHG BAT SYST"," 3,824.00 ",
03601894,INTRO/SHEATH NON-LASER, 288.00 ,
03602627,CATH SUPRAPUBI/CYSTOSCOPIC," 3,352.00 ",
03608607,CORTOSS MIX TIPS, 179.17 ,
03608627,PATCH PROCE VEN/HERNMED6.4X6.4," 1,907.35 ",
03608646,IMPLANT HEMI GREAT TOE SM," 1,433.38 ",
03608663,KIT WRENCH 5873W, 58.07 ,
03608675,CHARGING SYSTEM KIT SC64122," 21,500.73 ",
03608678,LONG TUNNELING TOOL SC4254, 917.36 ,
03608684,KIT CEMENT GUN 306-563," 2,278.37 ",
03608686,GLOVE LNR CUT RESIST LG &X-LG, 212.93 ,
03608690,MILD KIT (VERTOS MED)," 10,750.36 ",
03608694,CABLE PSA DISP(BOSTON/SCIEN), 125.41 ,
03608695,SAFESHEATH 7FR 7115(BOS/SCI), 268.76 ,
03608696,WRENCH BIDIRECT TORGUE(BOS/SCI, 179.17 ,
03608699,SAFESHEATH 9FR 6709 (B/S), 268.76 ,
03608717,SPLINT NASAL SEPTAL DOYLE11(15, 161.27 ,
03608718,LOOP CUTTING 0.35MM(27050G), 474.80 ,
03608736,DRILL BIT 1.8MM-#310.509, 259.72 ,
03608737,DRILL BIT 2.0MM-#310.19, 259.72 ,
03608738,GUIDWIRW 1.6MM-#292.16, 323.36 ,
03608739,GUIDEWIRE 1.25MM-#292.12, 323.36 ,
03608753,FLARED ACET SHELL W/HOLE430030," 4,586.83 ",
03608759,GUIDWIRE THRUWAY5X300CM 49-297, 494.52 ,
03608761,NDL BIOPSY TRU-CUT 2N2704X, 97.47 ,
03608763,APLIGRAF," 7,099.93 ",
03608776,BIT DRILL 3.5X125MM 700347, 551.84 ,
03608777,DRILL CALILBR 3.1MMX204MM70274, 505.26 ,
03608783,DRILL TWIST 1.9X87MM 60-19326, 465.85 ,
03608798,CABLE PACING 5833SL, 241.87 ,
03608813,DRILL 2.0 DSDS0020, 526.77 ,
03608814,K-WIRE .9, 526.77 ,
03608815,K-WIRE 1.6, 53.75 ,
03608835,BIT DRILL CANN(MULT SIZES)," 1,032.04 ",
03608859,BIT DRILL CANN 2.7 310.67," 1,597.60 ",
03608880,TIP APPL BIOGLUE BGAT-27-SY, 192.57 ,
03608889,SHEATH DRY SEAL(MULT SIZES)," 1,057.14 ",
03608903,PROBE ABC 10MM FOOTSWITCH," 3,626.47 ",
03608904,AQUACEL 3.5X10IN, 121.30 ,
03608905,AQUACEL 3.5X6IN, 97.03 ,
03608907,MATCHSTICK FLUTTED 3MM, 275.94 ,
03608919,BIT DRILL 60-16035, 485.71 ,
03608923,CLOSURE SYS LAP CT CT1-512N, 394.18 ,
03608924,CLOSURE SYS LAP CT XL CTXL, 537.53 ,
03608933,ALIQUOT DELIV SYS 2090-0502," 1,365.13 ",
03608944,SYSTEM VASC CLOS 6F 14679," 2,713.20 ",
03608947,BLLN CATH PTA  DIL MSTNG MULT, 853.22 ,
03608983,CLOSE FAST 7FR (MULT SIZES)," 2,713.20 ",
03608984,THERMASPLINT SINGLES, 70.98 ,
03608985,HOOD SURG T5 W/SHIELD, 159.90 ,
03608988,DRESSING MEROCEL 2000 8 CM, 51.20 ,
03608992,SEPRAFILM PROCEDURE PACK," 1,740.53 ",
03609004,SET INTERPULSE HANDPIECE, 169.21 ,
03609016,WRENCH HEX PRECISION SC-4275, 204.78 ,
03609019,DRESSING OPEN ABD ABTHERA, 51.20 ,
03609025,SNARE POLYY SENSATION LG 30MM, 119.45 ,
03609028,CATH PTA BALL STER 4F 4.0X100M," 1,290.90 ",
03609029,CATH PTA BALL STER 4F 2.0X150M," 1,484.54 ",
03609033,GUIDEWIRE AMPLANTZ SS.035/260, 151.08 ,
03609036,SUTURE V-LOC 180(MULT SIZES), 132.09 ,
03609039,CATH ANGIO SOFT-VU 5F, 70.17 ,
03609051,KIT SUTURETAK MICRO DISP, 853.22 ,
03609071,SYSTEM SORBAFIX ABSORB FIX," 1,962.38 ",
03609081,WALLFLEX BIL RX FULL/COVD STEN," 8,216.16 ",
03609083,INFLATION DEVICE-BRAUN 622510, 164.27 ,
03609090,SYS DISS SOCEMKR PLIS 10-12MM," 1,213.08 ",
03609095,DEVICE ABSORTATACK FIX 5MM," 1,088.73 ",
03609116,STAY ELASTIC 12MM, 174.74 ,
03609117,RETRACTOR DISP 32.5X18.3CM, 191.67 ,
03620001,NDL BONE MARROW IMBIBE 11GX6IN, 478.43 ,
03620005,RELOAD ENDO GIA 45MM MED/THICK, 633.29 ,
03620006,RELOAD ENDO GIA 45MM VASC/MED, 594.65 ,
03620007,RELOAD ENDO GIA45MM EXTRA THIC, 650.89 ,
03620008,STAPLER GIA UNIVERSAL XL 12MM," 1,783.95 ",
03620009,RELOAD ENDO GIA 60MM MED/THICK, 883.45 ,
03620010,RELOAD ENDO GIA 60MM VASC/MED, 836.32 ,
03620011,RELOAD ENDO GIA 60MM EXTRA THI, 998.10 ,
03620028,DRILL TWIST 1.6X7MM, 401.31 ,
03620029,DRILL TWIST 1.35X50MM, 392.10 ,
03620035,CATHANGSFT-VU PIGHTNON-BR5F90C, 37.55 ,
03620036,CATHANGSFT-VU PIGTBRAID 5F100C, 37.55 ,
03620037,CATH SLIP BEACON TIP 5F, 255.11 ,
03620038,GUIDEWIREV-14CONTROL WIRE300CM, 713.28 ,
03620039,GUIDEWIRE STARTER .035IN STR, 54.71 ,
03620049,TRAP DIGIT, 94.05 ,
03620051,FIBERTAPE AR-7237, 324.23 ,
03620052,NDL MULTIFIRESCORPION AR-13995, 542.22 ,
03620068,BIT DRILL 2.6MM, 668.92 ,
03620072,MANIPULATOR-INJECTOR UTERINE, 79.36 ,
03620076,LOOP CUTTING 0.8MM, 702.47 ,
03620085,FORCEP BAYONET BIPOLAR," 3,948.63 ",
03620087,CANNULA PATH DRIVE SHAFT, 430.02 ,
03620123,MICROCATH RENEGADE STC18 STR," 1,576.72 ",
03620124,CATH PTABALL DIL COYOTE(MULTSI," 1,664.94 ",
03620125,CATH PTABALL DIL COYOTE(MULTSI," 1,323.70 ",
03620130,GUIDEWIRE CONTRA2 5F, 44.72 ,
03620132,KIT INTRODUCER MICRO(MULT SIZE, 81.91 ,
03620133,CATH ANGIO SOFT VU 5FR, 35.10 ,
03620134,CATH ANGIO MARINER 5FR, 124.41 ,
03620144,FIBERTAPE AR-7237-7, 153.59 ,
03620145,TIGERTAPE AR-7237-7T, 153.59 ,
03620146,NEEDLE SUREFIRE SCORPIONAR1399, 477.80 ,
03620150,FIBERWIRE BRD#2 W/NDL AR-7200, 63.14 ,
03620152,SUTURE LASSO SD 90DEG STR, 682.56 ,
03620153,FIBERLINK AR-7235, 170.63 ,
03620186,ROD PRE-BENT (MULT SIZES)," 2,328.36 ",
03620188,DRILL CANN PILOT(MULT SIZES)," 1,006.80 ",
03620190,ALLODERM RTU 8X16CM THICK," 13,221.34 ",
03620201,GUIDEWIRE PART THREAD(MULT SIZ, 71.68 ,
03620208,CANNULA RQDIOFREQ STR 10CM, 66.55 ,
03620209,PAD GROUND RADIOFREQ PAIN MGMT, 43.56 ,
03620211,GUIDEWIRE 1.45MMX559MM 2PK," 1,365.13 ",
03620226,KIT TIBIAL ACL, 767.89 ,
03620230,SUPER SHEATH (MULT SIZES), 39.08 ,
03620233,LIGHT SOURCE MIS," 3,924.73 ",
03620241,WAVEGUIDE ELGR SABER, 679.17 ,
03620243,NERVE STIM PULSATRON, 249.28 ,
03620244,CATH PTA DIL BALN 16X6X75," 1,591.58 ",
03620245,INTRODUCERFLEXOR CHECK-FLO 9FR, 195.90 ,
03620247,MICRODEBRIDER TOPAZ W/CABL," 1,429.98 ",
03620257,BLADE RECIPROCATING, 151.13 ,
03620269,GUIDE WIRE ST.45X6, 45.57 ,
03620285,SUT PROLENE 6-0 C-1 8318H, 94.82 ,
03620289,CATH BALLOON BAKRI TAMPONADE, 619.63 ,
03620298,DRESSING NASOPORE 4CM, 370.54 ,
03620299,WIRES LIGATURE 0.5X160MM 24G, 234.02 ,
03620305,AVITENE 1GM, 183.65 ,
03620307,CATH CVL TRIPLE LUMEN 7FR 8IN, 109.51 ,
03620308,POUCH SPEC ENDOCATCH GLD 10MM, 344.91 ,
03620309,DISSECTOR BLUNT ENDO KITTNER, 69.67 ,
03620310,SHEAR SURG ERGO GRIP 5MMX36CM," 1,992.55 ",
03620315,BIT DRILL CANN 4.2, 861.14 ,
03620326,DRIVER SHAFT CANN 2.0/2.4, 650.07 ,
03620330,CATH ANGIOFRAPHICIMAGERII5F100, 35.61 ,
03620332,RELOAD ENDO GIA45MM VASC MEDCV, 664.87 ,
03620335,DILATOR ACHALASIA BALLOON(MULT," 2,683.12 ",
03620337,OSTEOTOME BMP THIN(MULT SIZES, 481.05 ,
03620341,CATH BROVIAC 4.2F," 1,078.25 ",
03620342,PACK PROCEDURE CLOSUREFAST, 65.82 ,
03620343,TUBE TRACH 6.0MM(MULT SIZES), 204.65 ,
03620344,SYSTEM FECAL MANAGEMENT, 771.56 ,
03620346,INSTRUMENT TISSUE FUSION LIGAS," 2,228.91 ",
03620350,SHEATH GUIDING PERFORMERBAL5.5, 403.04 ,
03620352,CATH FOLEY COUNCIL 16FR 5ML, 46.89 ,
03620353,KNIFE ACL GRAFT 10MM, 156.02 ,
03620355,CATH ANGIO SOFT VU OMNIFLUSH 4, 66.83 ,
03620356,PACK LAP CHOLE CUSTON, 171.79 ,
03620357,PACEMAKER INGENIO SR," 27,338.97 ",
03620362,GUIDEWIRE CONTR ANGIOST TIP.01, 279.71 ,
03620363,FIBERWIRE #5, 109.36 ,
03620365,CATH CHOLANGIOGRAM TAUT4.5X18I, 206.66 ,
03620366,TROCAR ENDOPATH XCELBLADELESS1, 700.70 ,
03620367,TROCAR ENDOPATHXCELBLADELESS5M, 565.66 ,
03620405,FORCEPS RADIAL JAW (MULT SIZES, 159.26 ,
03620406,GUIDEWIRE DREAMWIRE .035INX450, 680.94 ,
03620407,EXTRACTOR PRO XL 9MM/12MM, 448.54 ,
03620433,ULTRATOME XL 5.5F, 546.78 ,
03620452,LIGATOR SPEEDBAND SUPERVIEW, 690.69 ,
03620454,TROCAR VERSA + BLDLS 12MM MULT, 106.37 ,
03620460,K-WIRE 1210-6450S, 601.31 ,
03620462,REAMER SHAFT 0227-30005," 1,397.62 ",
03620467,OSTEOTOME GRAY FLEX (MULT SIZE," 1,586.15 ",
03620469,CHIPS STERISPONGE 1-4MM 5CC," 2,317.50 ",
03620471,SEAL ENDOSCOPIC 27550ZAG/1, 37.50 ,
03620472,GUIDEWIRE STR TIP VICTORY 14, 831.28 ,
03620473,STD BALLOONREPLKIT RT ANGLEBOL, 211.27 ,
03620475,DRILL 2.6MM -STRYKER 45-350105, 555.81 ,
03620479,WIRE K 1.4MM, 191.78 ,
03620480,DRILL 2.7MM - STRYKER 702449," 1,426.89 ",
03620484,SEALER BIPOLAR AQUAMASTYS 6.0," 1,655.53 ",
03620485,CATH CRAGG-MCNAMARA VLVD INFUS, 520.05 ,
03620486,CATH CRAGG-MCNAMARA VLVD INFUS, 341.29 ,
03620488,TROCAR VERSA PLUS BLDLS 15MM-M, 166.40 ,
03620489,TROCAR VERSA PLUS BLDLS 5MM-MU, 114.32 ,
03620490,TROCAR BLUNT PORT 5MM-12MM, 114.32 ,
03620492,MICRO-INTRODUCER .018INX45CM, 104.00 ,
03620493,BIT DRILL 1/8 IN. QUICK RELEAS, 364.04 ,
03620525,DRAIN CHEST WATERSEAL OASIS, 101.44 ,
03620551,TRAY TRACH INTRO PERC," 1,219.36 ",
03620584,CATH LCKNG 8FRX30CM TOT ABSC G," 1,599.16 ",
03620587,SUT QUILL UNDYED SYNTH 2-0 30X, 957.58 ,
03620597,SUT MICRO LASSO SHT 70 DEG BEN, 455.05 ,
03620606,APPL ENDO DUPLOSPRAY 5MMX30CM," 1,261.12 ",
03620608,MINI CAP TXTRNSST W/TWST CLMPX, 474.55 ,
03620638,NITINOL 1.9FRX90 STONE RTRV BS, 682.67 ,
03620639,KIT PEG ENDOVIVE SAFETY 20FR," 3,690.53 ",
03620648,SHEATH SUPER 10FR XL," 11,949.73 ",
03620649,SYS ULTRASITE INFUSION SET 15M," 20,842.55 ",
03620651,UTERINE MANIPULATOR V-CARE LRG," 2,288.22 ",
03620675,V-LOC 180 ABSORBABLE RELOAD, 908.89 ,
03620676,RETRACTOR ENDO PADDLE 12MM," 1,066.89 ",
03620677,STAPLER ANVIL TRNSORAL CIRC 25," 3,276.30 ",
03620679,LIGASURE CRVD SM JAW 16.5-19CM," 9,052.74 ",
03620707,IMMOBILIZER SHOULDER SFT LG, 188.26 ,
03620711,CATH 30CM T-ZONE 106CM," 8,434.53 ",
03620712,DRESSING HEMOSTAT SURGICEL 2X4," 5,481.98 ",
03620713,DEVICE RAD TRANSPEC SPEC," 2,589.84 ",
03620714,GUIDEWIRE 12G  014 X 300 STR, 682.56 ,
03620730,BLADE INFERIOR TURBINATE 2MM," 3,796.35 ",
03620732,BLADE RAD 40 4MM," 3,087.78 ",
03620733,BLADE SM 11CMX4MM 40 DEG, 497.30 ,
03620734,TUBING IRRIG ST SHOT TO XPS," 2,798.52 ",
03620736,"FLUID ADMIN SET 48"""," 5,041.23 ",
03620737,DRAPE C ARM 41X59 MICROTEX," 1,365.13 ",
03620738,CANNULA NEUROTHRM RF STRGHT 15, 633.81 ,
03620743,BINDER ABD. PANEL 2XL, 29.65 ,
03620748,DRSSNG ACTICOATFLEX3 10X120 4X," 3,334.62 ",
03620749,DRSSNG ACTICOAT 100X25 4X10," 3,100.57 ",
03620753,HANDSET 45/14MM DISP VERSAJET," 8,288.26 ",
03620762,CUFF TOURNIQUET DUAL PORT 18X4," 1,806.42 ",
03620763,CUFF TOURNIQUET 1BLA 2PRT 24X4," 2,009.62 ",
03620770,OSTEOTOME GRAY FLEX 12 X 93MM," 1,586.15 ",
03620773,OSTEOTOME GRAY FLEX 8 X 80MM," 1,586.15 ",
03620775,SUT ETHIBOND EXCEL 0-SH," 1,560.09 ",
03620776,SUT 2-0 BRAIDED V-20 26MM, 178.99 ,
03620824,GUIDEWIRE HELIX .35MM, 48.77 ,
03620825,DRILL BIT HELIX 2.0MM, 438.80 ,
03620826,BLADE SAG LG BONE 90X18X1.27MM, 221.03 ,
03620831,PV CATH USHER SUPPORT 130CM, 975.09 ,
03620837,TROCAR BLADELESS 5MM-11MM, 682.65 ,
03620841,BURR PFJ MILL STNDRD, 682.56 ,
03620844,FIBERLOOP W/STRGHT NEEDLE, 146.27 ,
03620845,"TIGERLOOP S/STRGHT NEEDLE 20""", 146.27 ,
03620862,INTRODUCER KIT, 308.79 ,
03620889,CATH RUBICON 14 014X135," 2,659.72 ",
03620890,SUT ANCHOR CORKSCREW BIOCOMP 5," 5,281.73 ",
03620891,CATHETER CROSSER 5FR 154CM," 7,475.69 ",
03620904,SKIN STAPLER, 222.70 ,
03620934,DRILL 4.9MM, 487.55 ,
03620935,GUIDEWIRE THREAEDED 3.2MM, 588.31 ,
03620946,BLADE TRICUT M4 13CMX4MM," 3,113.79 ",
03620953,DRAPE MINI C-ARM FLUOROSCAN, 633.81 ,
03620971,BANDAGE DERMACEA 2X4YD STR, 55.33 ,
03620998,BLLN CATH STERLING 2.0X100X150," 1,186.36 ",
03620999,GUIDEWIRE VICTORY 018X300CM 12, 604.56 ,
03621017,DRILL BIT 2.5 LONG, 324.50 ,
03621025,PACK GYN LAPROSCOPY, 239.13 ,
03621027,PACK LITHOTOMY, 472.76 ,
03621039,DRILL BIT 2.5MM, 773.57 ,
03621053,DRILL BIT SHORT 4.3MM, 942.60 ,
03621060,DRILL BIT 2.0MM X 40MM L91MM, 357.53 ,
03621061,DRILL BIT LONG RADFX, 828.83 ,
03621063,SPONGE STICK, 277.03 ,
03621071,DRILL BIT 2.5MM, 812.58 ,
03621072,SHEATH DRYSEAL 18 X 28, 975.09 ,
03621080,COVER TRNSDCR CIV FLEX TF 14X1, 277.03 ,
03621095,DRAPE EXTERMITY BILATERAL TIBU, 220.28 ,
03621096,BLLN CATH STERLING 6X100X135," 1,186.05 ",
03621097,BLLN CATH STERLING 5 X 100 X 1," 1,186.05 ",
03621098,CATH RUBICON 018X135MM," 2,659.72 ",
03621099,CUTTER BONE 4.0MM X 13CM, 214.52 ,
03621100,POWER RASP 4.0MM X 13CM, 471.29 ,
03621102,BUR OVAL 8 FLIUTE 5.0MM X 13CM, 169.02 ,
03621112,ENDOCUTTER TORPEDO 4.0MM, 357.53 ,
03621113,PACK LOWER EXTREMITY, 332.25 ,
03621114,PACK ARTHROSCOPY, 460.05 ,
03621116,BURR ROUND EXCALIBUR 4.0MM, 191.78 ,
03621125,VALVUTOME 1.5MM EXPANDABLE," 4,709.68 ",
03621144,SHEATH HI FLEX 8FR X 55CM, 208.02 ,
03621156,PACK DENTAL (BRK001), 534.37 ,
03621177,GUIDEWIRE ASNIS 3.0, 104.00 ,
03621178,GUIDEWIRE 45-20015, 104.00 ,
03621194,DRILL BIT 2.0MM XF0082001, 286.03 ,
03621202,DRILL BIT 2.8 80-0387, 393.29 ,
03621203,DRILL BIT 2.0 80-0318, 286.03 ,
03621206,TOWEL OR BLUE PREWASHED, 460.03 ,
03621207,CATHETER BERN 5FR 65CMM, 177.92 ,
03621208,SHEATH INTRODUCER, 99.14 ,
03621212,GUIDEWIRE .86MM, 48.77 ,
03621219,PACK EXTREMITY UPPER, 664.49 ,
03621232,BURR ROUND 8 FLUTE 4.0MM, 191.78 ,
03621233,BLLN CATH PTA MSTNG 7X150X75," 1,950.18 ",
03621263,DRILL BIT  2.5MM, 276.28 ,
03621269,BLADE SAGITTAL 25X.97, 202.56 ,
03621271,BLADE SMALL BONE OSCILLATING, 23.71 ,
03621283,SLEEVE OFFSET +10.5MM, 503.80 ,
03621306,CATH FOLEY SIL/LATEX 18FR 5CC, 95.05 ,
03621320,BLLN CATH PTA COYOTE 4.0X220X1," 1,639.05 ",
03621326,BURR OVAL 8 FLUTE 4.0MM, 191.78 ,
03621349,SHEATH DRY SEAL 14FR X 28CM, 812.58 ,
03621352,BLLN CATH PTA MSTNG 6X80X75CM, 812.58 ,
03621354,GLOVE SURG LTX PF 6.0 SENSITIV, 29.18 ,
03621361,KIT ENDOVIVE SAFETY PEG 20FR, 201.52 ,
03621375,SUT MAXON 4-0  P-13, 11.06 ,
03621389,KIT AMS 800 ACCESORY," 2,063.94 ",
03621473,CATH BLLN DIL 3.5X150MMX150CM," 1,699.00 ",
03621580,TRAY FOLEY CATH 16F, 36.51 ,
03621597,CATH FOLEY 18F 5CC 2WAY 5ML, 45.76 ,
03621839,GUIDEWIRE STD STR .035INX450CM, 698.82 ,
03621907,BASKET RETRIEVAL NITINOL 120CM," 1,135.24 ",
03625111,TUBE SUCTION STD KAMVAC 15IN, 106.94 ,
03626924,BIT DRILL QUICK COUP 3.2X145MM, 266.78 ,
03627195,CONN PORT ENDO F/160 180 MDEL, 25.84 ,
03627275,BRUSH CLEANING SGL USE, 26.66 ,
03629241,DRILLBIT 2.4MM HELIX, 438.80 ,
03629242,DRILLBIT 2.7MM HELIX, 438.80 ,
03629255,GWIRE AMPLATZ SUPERSTIFF 035X1, 472.44 ,
03629605,ADAPTER TUBE FEED CONT 24F, 12.74 ,
03629624,CANNISTER SUCTION 2L, 6.22 ,
03629742,SHOE POST OP MALE CNVS BGE LG, 17.88 ,
03629864,PACK LITHOTOMY I, 19.06 ,
03630268,COOL CUT 3.0MM 7CM, 214.52 ,
03630278,RESOLUTION CLIP 235CM CH 2.8MM, 593.83 ,
03630284,BINDER ABDONIMAL 12IN 4 PANEL, 31.76 ,
03630303,SUTURE TAK ANCHOR, 991.34 ,
03630304,KIT INSTRUMENT MINI SUT TAK, 568.81 ,
03630323,NERVE LOACTOR VARI-STIM III," 1,738.91 ",
03630340,DRILL BIT 2.0MM, 409.54 ,
03630342,STRAP ANKLE ARTHROSCOPY DSTRCT, 123.51 ,
03630343,CUFF TOURN DUAL PORT 18X5.5," 1,244.99 ",
03630346,COUNTERSINK," 1,196.11 ",
03630377,SUT LASSO STRGHT W/NTNL WIRELO, 455.05 ,
03630379,SUT LASSO MCR CPR MINI SCRPN D," 4,413.90 ",
03630386,DISSECTOR SJ 3.0MM," 1,072.60 ",
03630395,DRILL BIT  3.5MM, 575.31 ,
03630399,GASTROSTOMY FEEDING TUBE 24FR., 201.52 ,
03630411,STAPLER GIA UNIVERSAL ULTRA 12, 340.81 ,
03630415,LOOP ELECTRODE 5MM X 5MM, 31.86 ,
03630418,KIT ENTERAL ACCSS DVC ENOVV 20, 201.52 ,
03630427,DISSECTING TOOL 9-M (MIDAS REX, 469.48 ,
03630431,KIT STD BALL RTANGLBLSTR 18FX6, 201.52 ,
03630436,STAPLER EASYCLIP 10MM," 3,955.61 ",
03630439,PACK TOTAL JOINT, 413.77 ,
03630442,DRESSING TRACHEOSTOMY 4 X4, 0.77 ,
03630443,INTRODUCER SET 4FR MICROPUNCTU, 191.78 ,
03630444,MICRO WIRE HMW-HDRPHLC 014X300, 559.06 ,
03630445,CATH CXI CRSSNG 2.6FR 018X90CM, 601.31 ,
