The Bellevue Hospital Charge Listing Effective 01/01/2019,,
Description,Amount,
INTERMEDIATE EXTENDED CARE,332.00 ,
PEDIATRIC ROOM,"1,105.00 ",
PEDIATRIC ISOLATION,"1,246.00 ",
PEDS SPO2 TELEMETRY,"1,408.00 ",
BIRTHING ROOM,"1,337.00 ",
FB BILI CHECK TRANSCUTANEOUS,12.00 ,
FB BIRTHING DELIVERY,"2,838.00 ",
FB BLADDER ULTRASOUND SCAN,232.00 ,
FB BLOOD ADMINISTRATION,819.00 ,
FB BLOOD OR CLOT PATCH,"1,290.00 ",
FB CAPILLARY BLOOD DRAW,16.00 ,
FB CAR SEAT ADD 30 MINUTE,110.00 ,
FB CAR SEAT TEST 60 MINUTE,110.00 ,
FB CERCLAGE REMOVAL BEDSIDE,270.00 ,
FB CIRCUMCISION,287.00 ,
FB DECLOTTING VASCULAR DEVICE,448.00 ,
FB DRUG SCREEN UMBILICAL,260.00 ,
FB FETAL MONIT NON STRESS,392.00 ,
FB FETAL MONITOR STRESS,708.00 ,
FB FETAL MONITORING LABOR,421.00 ,
FB FOLEY CATHETER,247.00 ,
FB FRENOTOMY,"1,050.00 ",
FB GUIDE FOR MIDLINE,641.00 ,
FB GUIDE FOR PICC,641.00 ,
FB HEARING TEST NEWBORN ABNORMAL,296.00 ,
FB IMMUNIZATION ADMINISTRATION 1 EACH,101.00 ,
FB IMMUNIZATION ADMINISTRATION EA ADD,63.00 ,
FB INJ SUBCU IM,137.00 ,
FB INSERT CERVICAL DILATOR,423.00 ,
FB IV INFUSION CONCURRENT,202.00 ,
FB IV INFUSION FLUIDS 31 60,419.00 ,
FB IV INFUSION FLUIDS ADD HOUR,342.00 ,
FB IV INFUSION SEQUENTIAL,202.00 ,
FB IV INFUSION W MEDS 16 TO 60 MINUTES,419.00 ,
FB IV INFUSION W MEDS ADD HOUR,342.00 ,
FB IV PUSH EA ADD MED,137.00 ,
FB IV PUSH MED,288.00 ,
FB IV PUSH SEQ SM DRUG,137.00 ,
FB MIDLINE PLACEMENT,"1,734.00 ", 
FB PICC LINE INSERT,"1,821.00 ",
FB PKU,249.00 ,
FB PNEUMOGRAM,704.00 ,
FB PULSE OX MONITORING,189.00 ,
FB RECOVERY NON FBC,221.00 ,
FB STRAIGHT CATHETER,247.00 ,
FB TREATMENT ROOM,927.00 ,
FB VERSION,"3,464.00 ",
FBC 1ST HR OBS,805.00 ,
FBC ADD EA HR OBS,23.00 ,
FBC DIRECT OBS,805.00 ,
NEWBORN RETURN,845.00 ,
NEWBORN ROOM,845.00 ,
ROUTINE ROOM NON FBC,"1,104.00 ",
IC 1ST HR OBS,"1,242.00 ",
IC ADD EA HR OBS,38.00 ,
IC ADMIN OF IMMUNIZATION 1EA,101.00 ,
IC ARTERIAL BLOOD DRAW,249.00 ,
IC BIOELECTRICAL IMPEDANCE,158.00 ,
IC BLADDER CATHETER COMPLEX INSERT TEMPO,213.00 ,
IC BLADDER ULTRASOUND SCAN,232.00 ,
IC BLOOD ADMINISTRATION,819.00 ,
IC BLOOD OR CLOT PATCH,"1,290.00 ",
IC CAPILLARY BLOOD DRAW,16.00 ,
IC CARDIO VERSION,992.00 ,
IC CARDIOVERSION ELECTIVE,992.00 ,
IC CHAIR ALARM PAD,95.00 ,
IC COLLECTION FROM PICC LINE,176.00 ,
IC CONSCIOUS SEDATION 5 YO >15,433.00 ,
IC CONSCIOUS SEDATION ADDITIONAL 15 MIN,193.00 ,
IC DECLOTTING VASCULAR DEVICE,448.00 ,
IC DRAW VENOUS IMPLANT DEVICE,176.00 ,
IC ECHO TRANSESOPHAGEAL,"1,168.00 ",
IC FACILITY LEVEL 1,161.00 ,
IC FACILITY LEVEL 2,225.00 ,
IC FACILITY LEVEL 3,250.00 ,
IC FACILITY LEVEL 4,347.00 ,
IC FOLEY CATH,247.00 ,
IC GUIDANCE FOR PICC,641.00 ,
IC GUIDE FOR MIDLINE PLACE,641.00 ,
IC HR DIRECT OBS,"1,242.00 ",
IC INCONTINENT PAD 1ST,36.00 ,
IC INCONTINENT PAD ADD,13.00 ,
IC INJ SUBQ IM,137.00 ,
IC INJECTION SUBQ OR IM,137.00 ,
IC INTRAOSSEOUS IV START,394.00 ,
IC IV INFUSION 1 HR HYDRATION,419.00 ,
IC IV INFUSION ADD W MEDS,342.00 ,
IC IV INFUSION CONCURRENT,202.00 ,
IC IV INFUSION HYDRATION ADD 1 HR ICU,342.00 ,
IC IV INFUSION SEQUENTIAL,202.00 ,
IC IV INFUSION W MEDS 1HR,419.00 ,
IC IV PUSH EA ADD MED,137.00 ,
IC IV PUSH MED,288.00 ,
IC IV PUSH SEQ SM DRUG A,137.00 ,
IC LUMBAR PUNCTURE,804.00 ,
IC MIDLINE PLACEMENT,"1,821.00 ",
IC NON ICU 1ST HR OBS,633.00 ,
IC NON ICU ADD EA HR OBS,19.00 ,
IC NON ICU DIRECT OBS,663.00 ,
IC PHLEBOTMOY THERAPEUTIC,180.00 ,
IC PICC LINE INSERT,"1,821.00 ",
IC RECOVERY CARDIOVERSION TEE,789.00 ,
IC REPLACEMENT PICC CATH,"1,743.00 ",
IC STRAIGHT CATH,247.00 ,
IC THORACENTESIS WO IMAGING,"1,052.00 ",
IC TOILET SENSOR,8.00 ,
IC TREATMENT ROOM LEVEL 2,225.00 ,
IC TREATMENT ROOM LEVEL 3,250.00 ,
IC TREATMENT ROOM LEVEL 4,347.00 ,
IC TREATMENT ROOM LEVEL 5,928.00 ,
IC VENIPUNCTURE DRAW,16.00 ,
IC VENIPUNCTURE DRAW,16.00 ,
IC WOUND VAC <50CM,252.00 ,
IC WOUND VAC >50CM,467.00 ,
INTENSIVE CARE ROOM,"2,112.00 ",
PEDIATRIC NON ICU,"1,104.00 ",
PEDS OVERFLOW SPO2 TELE,"1,408.00 ",
RECOVERY IN ICU,313.00 ,
RECOVERY NON ICU,221.00 ,
ROUTINE ROOM NON ICU,"1,104.00 ",
SKILLED EXT CARE NON ICU,519.00 ,
CP BIOELECTRICAL IMPEDANCE,158.00 ,
CP BLOOD GAS DRAW,249.00 ,
CP CARBOXYHEMOGLOBIN,504.00 ,
CP EXHALED NITRIC OXIDE,53.00 ,
CP MAXIMAL VOLUNTARY VENTILATION,247.00 ,
CP METHACHOLINE CHALLENGE,779.00 ,
CP METHACHOLINE CHALLENGE,779.00 ,
CP PFT DIFFUSION,144.00 ,
CP PFT PLETHYSMOGRAPHY,373.00 ,
CP SPIROMETRY,302.00 ,
CP SPIROMETRY PRE & POST,444.00 ,
CP TOBACCO CESSATION >10 MIN,56.00 ,
CP TOBACCO CESSATION 3 TO 10 MIN,48.00 ,
CP TRANS Q CO SCREEN,21.00 ,
CP VAPOTHERM INITIAL,238.00 ,
CP VAPOTHERM SUB,232.00 ,
CP WALK TEST,188.00 ,
RT AEROSOLS INITIAL,369.00 ,
RT CARDIOPULMONARY RESUSCITATION,454.00 ,
RT CBT 1ST HOUR,122.00 ,
RT CBT EA ADD HOUR,117.00 ,
RT CO OX,408.00 ,
RT CO SCREEN,54.00 ,
RT COMMON CANNIS INITIAL,369.00 ,
RT CPAP DAY,478.00 ,
RT CPAP INITIAL DAY,478.00 ,
RT CPT I,142.00 ,
RT CPT SUBSEQUENT,158.00 ,
RT FLOW VOLUME LOOP,373.00 ,
RT HAND HELD NEBULIZER ACUTE,369.00 ,
RT INTERMITTENT POSITIVE PRESSURE BREATH,369.00 ,
RT NEWBORN RESUSITATION,882.00 ,
RT O2 ADMIN,20.00 ,
RT O2 IN EMERGENCY ROOM,54.00 ,
RT OXYGEN DAILY,282.00 ,
RT PULSE OX MULTIPLE,189.00 ,
RT PULSE OX SENSOR,151.00 ,
RT PULSE OXIMETRY,49.00 ,
RT PULSE OXIMETRY O2 SAT OVERNIGHT NOCTU,205.00 ,
RT SPUTUM,194.00 ,
RT SUCTION EMERGENCY ROOM,342.00 ,
RT SUCTION NT,342.00 ,
RT VENTILATOR INITIAL,702.00 ,
RT VENTILATOR PER DAY,702.00 ,
PS COLLECTION FROM PICC LINE,176.00 ,
PS DRAW VENOUS IMPLANT DEVICE,176.00 ,
OR ADDITIONAL OR PERSONNEL,737.00 ,
OR ADDITIONAL PERSONNEL EACH 30 MIN,117.00 ,
OR ANAL OR URETHRAL SPHINCTER MUSCLE STU,217.00 ,
OR ANESTHESIA GAS MONITOR,111.00 ,
OR AORTA SC,"2,198.00 ",
OR ARGON BOVIE,117.00 ,
OR ARTHROCARE MACHINE,54.00 ,
OR ARTHROSCOPY IRRIGATION PUMP,428.00 ,
OR BAIR HUGGER EQUIP,70.00 ,
OR BIER BLOCK ANESTHESIA,702.00 ,
OR BLOOD GLUCOSE REAGENT STRIP,13.00 ,
OR BLOOD OR CLOT PATCH,"1,290.00 ",
OR BRACHYTX NEEDLE C1715,13.00 ,
OR BRONCHOSCOPE,132.00 ,
OR CARDIOVERSION,992.00 ,
OR CARDIOVERSION TEE  RECOVERY TIME,"1,042.00 ",
OR CAUTERY UNIT,86.00 ,
OR COLONOSCOPY EQUIP,132.00 ,
OR COMPLEX CYTOMETROGRAM W PRESSURE PROF,819.00 ,
OR COMPLEX SIMULATION 77290,739.00 ,
OR COMPLEX UROFLOWMETRY,221.00 ,
OR COMPLEXCYSTOMETROGRAM,735.00 ,
OR CONTINUOUS FLOW CYSTOSCOPE,342.00 ,
OR COSMETIC TR RM ADD 30 MIN,68.00 ,
OR COSMETIC TREATMENT 1 HR,244.00 ,
OR CRANIAL NERVE ELECTROMYOGRAPHY,563.00 ,
OR CYSTOSCOPE,132.00 ,
OR DECLOTTING VASCULAR DEVICE,448.00 ,
OR DOSIMETRY BRACHYTX 77318,"1,040.00 ",
OR ELECTROMYOGRAPHY LARYNX,563.00 ,
OR END TIDAL CO2 MONITOR,51.00 ,
OR EPIDURAL ANESTHESIA,371.00 ,
OR EQUIPMENT SETUP,406.00 ,
OR EVOKED SIMULATION UPPER LOWER LIMB,551.00 ,
OR FACIAL NERVE MONITOR,86.00 ,
OR FIBEROPTIC INTUBATION SCOPE,132.00 ,
OR FLUSHING PUMP,101.00 ,
OR FOLEY CATH,247.00 ,
OR GASTROSCOPE EGD,132.00 ,
OR GENERAL ANESTHESIA PER MINUTE,13.00 ,
OR GENERAL ANESTHESIA PER MINUTE PACU,13.00 ,
OR GLIDESCOPE,117.00 ,
OR GREENLIGHT LASER,"2,735.00 ",
OR GUIDANCE RADIOELEMENT 76965,339.00 ,
OR HANDLING W LOADING 77790,111.00 ,
OR HARMONIC FOCUS GENERATOR,86.00 ,
OR HEADLIGHTS,54.00 ,
OR HOLMIUM LITHOCLAST,"1,792.00 ",
OR HTA NOVASURE MINERVA,86.00 ,
OR HYPERTHERMIA BLANKET,54.00 ,
OR HYSTEROSCOPE,132.00 ,
OR IMPLANT COMP BRACHTX 77778,"2,071.00 ",
OR INSTRUMENT TRAY MAJOR,117.00 ,
OR INSTRUMENT TRAY MINOR,70.00 ,
OR INSULFLATOR EQUIPMENT,117.00 ,
OR INTRAOP LENS EQUIP,217.00 ,
OR INTRAOP NERVE TEST EA 15 MIN,71.00 ,
OR INTRAOPERATIVE MONT,244.00 ,
OR JACKSON TABLE PAIN MANAGEMENT,185.00 ,
OR LEVEL II PER MINUTE,79.00 ,
OR LEVEL II RECOVERY ROOM,79.00 ,
OR LIGASURE DEVICE,86.00 ,
OR LIGASURE TRIAD,132.00 ,
OR LITHOTRIPSY ESWL,"7,763.00 ",
OR LOW EXT ART UNI,572.00 ,
OR MAJOR ADD 30 MIN,146.00 ,
OR MAJOR LEVEL 1ST HOUR,730.00 ,
OR MICROSCOPE,86.00 ,
OR MIDLINE GUIDANCE,641.00 ,
OR MIDLINE PLACEMENT,"1,821.00 ",
OR MINOR LEVEL 1ST HOUR,608.00 ,
OR MINOR LEVEL ADD 15 MIN,62.00 ,
OR MINOR LEVEL ADD 30 MIN,137.00 ,
OR MONITORED ANESTHESIA CARE PER MINUTE,11.00 ,
OR MUSCLE TEST 1 LIMB,252.00 ,
OR MUSCLE TEST 2 LIMB,298.00 ,
OR MUSCLE TEST 3 LIMBS,298.00 ,
OR MUSCLE TEST 4 LIMBS,298.00 ,
OR MUSCLE TEST NONPARASPINAL,129.00 ,
OR MYOSURE GENERATOR,132.00 ,
OR MYOSURE SCOPE,86.00 ,
OR NEEDLE PLACE PROSTATE,"5,904.00 ",
OR NEOPROBE,54.00 ,
OR NEPTUNE SX,117.00 ,
OR NERVE BLOCK ANESTH,702.00 ,
OR NONSTRANDED IODINE 125 C2639,117.00 ,
OR NONSTRANDED PALLADIUM 103 C2635,164.00 ,
OR O2 IN RECOVERY RM,54.00 ,
OR OMNI GUIDE LASER,"3,445.00 ",
OR PACU PHASE ONE,13.00 ,
OR PHACO EQUIP,117.00 ,
OR PHYSICS CONSULT RADIATION,290.00 ,
OR PHYSICS CONSULT RADIATION ONCOLOGY,290.00 ,
OR PICC GUIDANCE PACU,641.00 ,
OR PICC LINE INSERT PACU,"1,821.00 ",
OR POSITIONING DEVICE,86.00 ,
OR POWER EQUIPMENT DRILL SAW SHAVER,176.00 ,
OR PRE BRACHY PLANNING 3D 77295,"2,515.00 ",
OR PRE OP CARE,390.00 ,
OR PROCEDURE IN PACU,249.00 ,
OR REGIONAL BLOCK ANESTHESIA,777.00 ,
OR RFA MACHINE,172.00 ,
OR RIGID SCOPES AND LENS,287.00 ,
OR SCD COMPRESSION PUMP,86.00 ,
OR SMOKE EVACUATOR BUFFALO,86.00 ,
OR SOURCE IODINE 125 EA,184.00 ,
OR SPECIAL PROCEDURE ROOM TIME PER MINUTE,53.00 ,
OR SPECIAL RADIATION DOSIMETRY,290.00 ,
OR SPECIAL RADIATION TREATMENT 77470,952.00 ,
OR SPECIALTY TABLE,194.00 ,
OR SPINAL ANESTHESIA,482.00 ,
OR SSEP LOWER LIMBS,587.00 ,
OR SSEP UPPER LIMBS,587.00 ,
OR SSI LASER,"1,021.00 ",
OR STRAIGHT CATH,247.00 ,
OR STRANDED IODINE125 C2638,106.00 ,
OR STRANDED PALLADIUM 103 G2640,160.00 ,
OR STRYKER HOODS,54.00 ,
OR SUCTION MACHINE D C,117.00 ,
OR TCMEP LOWER LIMBS,630.00 ,
OR TCMEP UPPER LIMBS,630.00 ,
OR TIME PER MINUTE,97.00 ,
OR TOUNIQUET CUFF REUSE,54.00 ,
OR TOURNIQUET USAGE,86.00 ,
OR TREATMENT DEVICES SIMPLE 77332,536.00 ,
OR UNSCHEDULED CASE,698.00 ,
OR URETEROSCOPE,132.00 ,
OR URETHRAL PRESSURE PRO,217.00 ,
OR VIDEO TOWER,895.00 ,
OR VITAL SIGN MONITOR AMB,194.00 ,
OR VITAL SIGN MONITOR PACU,234.00 ,
OR VOIDING PRESS BLADDER,735.00 ,
OR VOLUME STUDY TRANSREC 76873,"1,310.00 ",
PM 1ST LEVEL INJ CERVICAL THORACIC FACET,"1,677.00 ",
PM 1ST LEVEL INJ LUMBAR SAC FACET PARAVE,"1,677.00 ",
PM 2ND LEVEL INJ CERV THOR PARAVERTEBRAL,508.00 ,
PM 2ND LEVEL INJ LUMBAR SAC PARAVERTEBRA,508.00 ,
PM 3RD LEVEL INJ CER THOR PARAVERTEBRAL,508.00 ,
PM 3RD LEVEL L S PARAVERTEBRAL INJECTION,508.00 ,
PM ADD ON FORAMEN EPIDURAL INJECTION CT,813.00 ,
PM ADD ON LUMBAR SACRAL FORAMEN EPIDURAL,813.00 ,
PM AXILLARY NERVE INJECTION,"1,677.00 ",
PM BRACHIAL PLEXUS INJECTION,"1,677.00 ",
PM CERV THOR ADD ON  RFA DESTROY PARAVER,"1,806.00 ",
PM CERV THOR RFA DESTROY PARAVERT NERVE,"4,104.00 ",
PM DISCOGRAM EA LEVEL LUMBAR,490.00 ,
PM DRAIN INJ JOINT BURSA LG SHOULDR KNEE,437.00 ,
PM DRAIN INJ JOINT BURSA MED UNI BIL,607.00 ,
PM FORAMEN EPIDURAL INJECTION CT NR,"1,677.00 ",
PM IMPLANT NEUROELECTRODES,"15,081.00 ",
PM IMPLANT NEURORECEIVER STIMULATOR,"70,999.00 ",
PM IMPLANT SPINAL CANAL CATH,"10,896.00 ",
PM IMPLANT SPINAL FUSION PUMP,"41,009.00 ",
PM INJ ANESTH INTERCOSTAL NERVE SINGLE,"1,331.00 ",
PM INJ TX OF NERVE OTHER PERIPH NEUROLYS,"1,677.00 ",
PM INTERCOSTAL NERVE DESTRUCTION W NEURO,"1,677.00 ",
PM LUMBAR ADD ON RFA DESTROY PARAVERTEBR,"1,806.00 ",
PM LUMBAR RFA DESTROY PARAVERTEBRAL NERV,"4,104.00 ",
PM LUMBAR SACRAL FORAMEN EPIDURAL INJECT,"1,677.00 ",
PM NERVE BLOCK CELIAC PLEXUS,"1,677.00 ",
PM NERVE BLOCK CERVICAL PLEXUS,"1,331.00 ",
PM NERVE BLOCK INJ ILIO ING HYPOG,"1,331.00 ",
PM NERVE BLOCK INJ INTERCOST MLT,"1,677.00 ",
PM NERVE BLOCK LUMBAR THORACIC,"1,677.00 ",
PM NERVE BLOCK OTHER PERIPHERAL,"1,677.00 ",
PM NERVE BLOCK SPENOPALATINE,607.00 ,
PM NERVE BLOCK STELLATE GANGLION,"1,677.00 ",
PM NERVOUS SYSTEM PROCEDURE,607.00 ,
PM PAIN MANAGEMENT CLINIC,"1,042.00 ",
PM REMOVE NEUROELECTRODES LEAD,"4,104.00 ",
PM REVISION OF NEUROELECTRODES,"15,081.00 ",
PM SACROILIAC JOINT INJECTION,"1,871.00 ",
PM TREAT EPIDURAL SPINE LESION,"1,290.00 ",
OR BLOOD ADMINISTRATION CARE,819.00 ,
OR PACU STRAIGHT CATH,247.00 ,
PC BLADDER CATHETER SIMPLE TEMPORARY PAC,247.00 ,
PC BLADDER ULTRASOUND SCAN,232.00 ,
PC CAPILLARY BLOOD DRAW,16.00 ,
PC COLLECTION FROM PICC LINE,176.00 ,
PC DRAW VENOUS IMPLANT DEVICE,176.00 ,
PC FACILITY LEVEL 1,160.00 ,
PC FACILITY LEVEL 2,224.00 ,
PC FACILITY LEVEL 3,248.00 ,
PC FACILITY LEVEL 4,345.00 ,
PC INJ SUBQ IM PACU,137.00 ,
PC INJECTION SUBCU IM,137.00 ,
PC IV INF W MEDS 31TO 60 MIN,419.00 ,
PC IV INFUSION ADD 1 HOUR,342.00 ,
PC IV INFUSION CONCURRENT,202.00 ,
PC IV INFUSION HYDRATION 31 TO 60 MIN PA,419.00 ,
PC IV INFUSION W MEDS ADDTL HR,342.00 ,
PC IV PUSH EA ADD MED,137.00 ,
PC IV PUSH MED PACU,288.00 ,
PC IV PUSH SEQ SM DRUG,137.00 ,
PC LUMBAR PUNCTURE PACU,804.00 ,
PC TREATMENT ROOM LEVEL 5  PACU,926.00 ,
PC VENIPUNCTURE DRAW,16.00 ,
PC WOUND VAC  GREATER THAN 50CM,467.00 ,
PC WOUND VAC LESS THAN 50CM,252.00 ,
ER ADMIN FLU VACCINE,65.00 ,
ER ADMIN PNEUMONIA VACCINE,101.00 ,
ER ANKLE DISLOCATION W ANESTHESIA,"2,484.00 ",
ER ANKLE FX BIMALLEOLAR W MANIPULATION,"2,100.00 ",
ER ANKLE OR FOOT STRAPPING,214.00 ,
ER AUDITORY EXTERNAL CANAL ABSCESS DRAIN,525.00 ,
ER BAIR HUGGER EQUIP,70.00 ,
ER BIOIMPEDANCE CARDIOVASCULAR ANALYSIS,158.00 ,
ER BLADDER ULTRASOUND SCAN,232.00 ,
ER BLOOD ADMIN,819.00 ,
ER CAPILLARY BLOOD DRAW,16.00 ,
ER CAST BIVALVE BOOT OR BODY CAST,341.00 ,
ER CAST WINDOWING,239.00 ,
ER CEREBRAL THROMBOLYSIS BY IV INFUSION,531.00 ,
ER CHEM CAUTERIZE TISSUE,321.00 ,
ER CLOSED REDUCTION SHOULDER W FRACTURE,"1,785.00 ",
ER COLLECTION FROM PICC LINE,176.00 ,
ER COMPLEX EYELIDS NOSE EAR LIPS 1.1 2.5,807.00 ,
ER COMPLEX EYELIDS NOSE EAR LIPS 2.6 TO,807.00 ,
ER COMPLEX EYELIDS NOSE EAR LIPS EA AD 5,507.00 ,
ER COMPLEX FOREHEAD CHEEK CHIN MOUTH ADD,507.00 ,
ER COMPLEX FOREHEED CHEEK CHIN MOUTH 1.1,507.00 ,
ER COMPLEX FOREHEED CHEEK CHIN MOUTH 2.6,807.00 ,
ER COMPLEX SCALP ARMS LEGS 1.1 TO 2.5 CM,683.00 ,
ER COMPLEX SCALP ARMS LEGS 2.6 TO 7.5 CM,807.00 ,
ER COMPLEX SCALP ARMS LEGS EA ADD 5 CM,249.00 ,
ER COMPLEX TRUNK 1.1 TO 2.5 CM,807.00 ,
ER COMPLEX TRUNK 2.6 TO 7.5 CM,807.00 ,
ER COMPLEX TRUNK EA ADD 5 CM USE WITH 13,743.00 ,
ER CONSCIOUS SEDATION <5 YO 15,433.00 ,
ER CONSCIOUS SEDATION 5 YO >15,433.00 ,
ER CONSCIOUS SEDATION ADDITIONAL 15 MIN,193.00 ,
ER CORONARY THROMBOLYSIS IV INFUSION,433.00 ,
ER CRITICAL CARE EA ADDTL 30 MIN,412.00 ,
ER CYSTOSCOPE,"1,029.00 ",
ER DEBRIDEMENT LARGE,467.00 ,
ER DEBRIDEMENT NAIL 6 >,249.00 ,
ER DEBRIDEMENT NAIL BED 1 TO 5,224.00 ,
ER DEBRIDEMENT SKIN SUBCUTANEOUS,467.00 ,
ER DECLOTTING VASCULAR DEVICE,448.00 ,
ER DISTAL PHALANX FRACTION W MANIPULATIO,401.00 ,
ER DISTAL RADIUS FRACTURE W MANIPULATION,"2,100.00 ",
ER DRAW VENOUS IMPLANT DEVICE,176.00 ,
ER ELBOW DISLOCATION W ANESTHESIA,"2,100.00 ",
ER ELBOW DISLOCATION WO ANESTHESIA,401.00 ,
ER ELBOW/WRIST STRAPPING,131.00 ,
ER ELECTIVE CARDIOVERSION,992.00 ,
ER GUIDE MIDLINE PLACEMENT,641.00 ,
ER GUIDE PICC PLACEMENT,641.00 ,
ER HEMORRHOID EXTERNAL THROMBOSED INCISI,401.00 ,
ER HIP DISLOCATION W ANESTHESIA,"2,484.00 ",
ER I D VULVA PERINEAL ABCESS,423.00 ,
ER INS FOLEY CATHETER,247.00 ,
ER IV PUSH 2ND MED,137.00 ,
ER IV W MEDS ADD HR,342.00 ,
ER IV W MEDS UP TO 1 HR,419.00 ,
ER LARYNGOSCOPY FLEX DIAGNOSTIC,327.00 ,
ER LAYER SCALP TRUNK LIMB <2.5 CM,485.00 ,
ER LAYER SCALP TRUNK LIMB >30 CM,"1,470.00 ",
ER LAYER SCALP TRUNK LIMB 12.6 TO 20 CM,467.00 ,
ER LAYER SCALP TRUNK LIMB 2.6 TO 7.5 CM,507.00 ,
ER LAYER SCALP TRUNK LIMB 20.1TO 30 CM,807.00 ,
ER LAYER SCALP TRUNK LIMB 7.6 TO 12.5 CM,500.00 ,
ER MIDLINE PLACEMENT,"1,821.00 ",
ER PICC LINE PLACEMENT,"1,821.00 ",
ER REMOVE IMPACTED EAR WAX UNILATERAL,110.00 ,
ER REPAIR BLOOD VESSEL UPPER EXTREMITY,"3,938.00 ",
ER REPAIR PALATE LACERATION UP TO 2 CM,751.00 ,
ER RM CRITICAL CARE,"1,998.00 ",
ER RM LEVEL 1,156.00 ,
ER RM LEVEL 2,217.00 ,
ER RM LEVEL 3,378.00 ,
ER RM LEVEL 4,653.00 ,
ER RM LEVEL 5,964.00 ,
ER SIMPLE FACE EARS LIPS <2.5 CM,268.00 ,
ER SIMPLE SCALP TRUNK LIMB 12.6 TO 20 CM,492.00 ,
ER SIMPLE SCALP TRUNK LIMB 2.5 CM OR LES,252.00 ,
ER SIMPLE SCALP TRUNK LIMB 2.6 TO 7.5 CM,252.00 ,
ER SIMPLE SCALP TRUNK LIMB 7.6 TO 12.5 C,301.00 ,
ER SIMPLE SCALP TRUNK LIMB GT 30 CM,433.00 ,
ER STRAIGHT CATH,247.00 ,
ER SUBQ IM INJECTION,137.00 ,
ER SUBUNGUAL HEMATOMA EVACUATION,161.00 ,
ER VENIPUNCTURE,16.00 ,
FAC ABSCESS CMP MULT,492.00 ,
FAC ABSCESS SMPL SNG,305.00 ,
FAC ANKLE DISLOC WO ANEST,401.00 ,
FAC ANOSCOPY,249.00 ,
FAC ANOSCOPY FB REMOV,"1,552.00 ",
FAC ANT PACK OR CAUTERY COMPLEX,249.00 ,
FAC ANT PACK OR CAUTERY SIMPLE,247.00 ,
FAC ARM LONG CAST,375.00 ,
FAC ARM LONG SPLINT OCL,242.00 ,
FAC ARM SHORT CAST,375.00 ,
FAC ARM SHORT SPLINT OCL,247.00 ,
FAC ARTERIAL CATH,"1,818.00 ",
FAC ARTERIAL PUNCTURE,249.00 ,
