,accounts_payable,accounts_receivable,allowable_dsh_percentage,buildings,cash_on_hand_and_in_banks,ccn_facility_type,city,combined_outpatient_inpatient,contract_labor,cost_of_charity_care,cost_of_uncompensated_care,cost_to_charge_ratio,county,deferred_income,depreciation_cost,disproporationate_share,drg_amounts_after_october,drg_amounts_before_october,fiscal_year_begin_date,fiscal_year_end_date,fixed_equipment,fte_employees_on_payroll,general_fund_balance,gross_revenue,health_information_technology,hospital_name,hospital_number_of_beds_for,hospital_total_bed_days,hospital_total_days_title_1,hospital_total_days_title_2,hospital_total_days_v_xviii,hospital_total_discharges_1,hospital_total_discharges_2,hospital_total_discharges_3,inpatient_revenue,inpatient_total_charges,inventory,investments,land,land_improvements,leasehold_improvements,less_allowances_for,less_contractual_allowance,less_total_operating_expense,major_movable_equipment,managed_care_simulated,medicaid_charges,medicare_cbsa_number,minor_equipment_depreciable,mortgage_payable,net_income,net_income_from_service_to,net_patient_revenue,net_revenue_from_medicaid,net_revenue_from_stand_alone,notes_and_loans_payable_short,notes_payable,notes_receivable,number_of_beds,number_of_beds_total_for,number_of_interns_and,other_assets,other_current_assets,other_current_liabilities,other_long_term_liabilities,outlier_payments_for,outpatient_revenue,outpatient_total_charges,overhead_non_salary_costs,payroll_taxes_payable,prepaid_expenses,provider_ccn,provider_type,rural_versus_urban,salaries_wages_and_fees,stand_alone_schip_charges,state_code,street_address,temporary_investments,total_assets,total_bad_debt_expense,total_bed_days_available,total_bed_days_available_1,total_costs,total_current_assets,total_current_liabilities,total_days_title_xix,total_days_title_xix_total,total_days_title_xviii,total_days_title_xviii_total,total_days_v_xviii_xix_unknown,total_days_v_xviii_xix_unknown_1,total_discharges_title_xix,total_discharges_title_xix_1,total_discharges_title_xviii,total_discharges_title_xviii_1,total_discharges_v_xviii,total_discharges_v_xviii_1,total_fixed_assets,total_fund_balances,total_ime_payment,total_income,total_liabilities,total_liabilities_and_fund,total_long_term_liabilities,total_other_assets,total_other_expenses,total_other_income,total_salaries_adjusted,total_salaries_from_worksheet,total_unreimbursed_and,type_of_control,unsecured_loans,wage_related_costs_core,wage_related_costs_for_interns,wage_related_costs_for_part,wage_related_costs_rhc_fqhc,zip_code
10,47523586.0,121827840.0,0.776,457316250.0,76383141.0,STH,BRONX,809907312.0,7523400.0,31031463.0,58955874.0,0.58,THE BRONX,,24814208.0,4844250.0,5322043.0,19648321.0,2014-01-01T00:00:00.000,2014-12-31T00:00:00.000,,4032.0,22740067.0,809906312.0,,BRONX-LEBANON HOSPITAL CENTER,399.0,145635.0,12922.0,26370.0,104552.0,2448.0,5660.0,26679.0,494717980.0,494752633.0,2805169.0,28804867.0,832125.0,3934788.0,9484111.0,-54690722.0,211383230.0,634860920.0,200299273.0,32221897.0,502272422.0,35614.0,,62149686.0,-34153556.0,-36337838.0,598523082.0,222102326.0,,,,,481.0,587.0,328.0,6571205.0,8594184.0,90968776.0,135485836.0,378410.0,315188332.0,315154679.0,300675419.0,,3177014.0,330009,4,U,49931314.0,,NY,1276 FULTON AVENUE,4535394.0,410602670.0,43770205.0,175565.0,214255.0,470273672.0,169716012.0,188423676.0,31625.0,52307.0,15630.0,19221.0,129450.0,168455.0,5660.0,6870.0,2448.0,2680.0,26679.0,29148.0,205510586.0,24543472.0,17346298.0,-3541274.0,386059198.0,410602670.0,197635522.0,35376072.0,30612282.0,32796564.0,334185501.0,334185501.0,83799430.0,2,,76243285.0,8371042.0,7106153.0,,10456
11,20816000.0,33277000.0,0.086,145210204.0,1181000.0,STH,BINGHAMTON,679987945.0,138959.0,4858307.0,11667631.0,0.34,BROOME,,,538873.0,6270809.0,18734883.0,2014-01-01T00:00:00.000,2014-12-31T00:00:00.000,610.0,1778.0,265383000.0,738652279.0,,OUR LADY OF LOURDES MEMORIAL HOSP,138.0,50370.0,15563.0,1378.0,38097.0,3434.0,381.0,9665.0,195623298.0,194167623.0,4364000.0,,729659.0,11420350.0,2111177.0,,451837338.0,279592677.0,83223128.0,11624279.0,118341524.0,13780.0,,41635000.0,25872537.0,7222264.0,286814941.0,33488556.0,,509000.0,,,148.0,154.0,11.0,18255600.0,33722000.0,30467000.0,17883000.0,967185.0,543028981.0,485820322.0,159280539.0,,,330011,2,U,,,NY,169 RIVERSIDE DRIVE,194417000.0,376693000.0,14069954.0,54020.0,56210.0,233089295.0,266961000.0,51792000.0,1911.0,9939.0,17507.0,33798.0,44104.0,85745.0,381.0,381.0,3434.0,3434.0,9665.0,9665.0,91476400.0,265383000.0,1491865.0,27224536.0,111310000.0,376693000.0,59518000.0,18255600.0,1351999.0,20002272.0,120312138.0,120312138.0,14586166.0,1,,28123943.0,203215.0,99734.0,,13905
12,56499938.0,122690976.0,0.18,594084273.0,8228271.0,STH,ALBANY,2695116193.0,3164467.0,6104462.0,12655732.0,0.26,ALBANY,,42470565.0,3503897.0,20735611.0,57258760.0,2014-01-01T00:00:00.000,2014-12-31T00:00:00.000,60116204.0,4525.0,330364120.0,2695117201.0,3598645.0,ALBANY MEDICAL CENTER HOSPITAL,512.0,186880.0,44516.0,8715.0,149609.0,8201.0,1775.0,32404.0,1850850819.0,1852598065.0,13924667.0,98190564.0,357870.0,4015954.0,40515.0,-18155295.0,1883043412.0,793797365.0,403334993.0,40403003.0,550930533.0,10580.0,,,51453126.0,18276424.0,812073789.0,123233408.0,2725265.0,,369479080.0,,649.0,695.0,342.0,164361101.0,,41313971.0,131849686.0,9272470.0,844266382.0,842518128.0,541548640.0,1478164.0,5231152.0,330013,2,U,38498143.0,14236543.0,NY,43 NEW SCOTLAND AVENUE,41855135.0,994737809.0,11555203.0,236885.0,253675.0,690391293.0,225208996.0,137790216.0,14360.0,17078.0,53981.0,59195.0,196663.0,211099.0,1775.0,1992.0,8201.0,8561.0,32404.0,33495.0,506977148.0,355618827.0,27148518.0,48482435.0,639118982.0,994737809.0,501328766.0,262551665.0,-2970691.0,30206011.0,253044323.0,253044323.0,23396224.0,2,,44660906.0,3342070.0,,1395694.0,12208
13,35769000.0,48353000.0,0.473,149839000.0,8852000.0,STH,JAMAICA,960923952.0,347332.0,18861423.0,35697452.0,0.4,QUEENS,13718000.0,18744684.0,2781794.0,6171968.0,17332833.0,2014-01-01T00:00:00.000,2014-12-31T00:00:00.000,41283000.0,2982.0,-32269000.0,960923961.0,,JAMAICA HOSPITAL MEDICAL CENTER,294.0,102930.0,14510.0,14883.0,81105.0,2556.0,2692.0,18722.0,615584745.0,615697787.0,,,1601000.0,1994000.0,,,545139834.0,499247207.0,129358000.0,24086031.0,443091115.0,35644.0,,,-56043364.0,-83463080.0,415784127.0,163715045.0,,,,,339.0,658.0,173.0,78505000.0,4869000.0,33556000.0,188340000.0,444688.0,345339216.0,345226165.0,260105692.0,,29372000.0,330014,4,U,53426000.0,,NY,8900 VAN WYCK EXPRESSWAY,19081000.0,292540000.0,18492547.0,119355.0,235790.0,379593596.0,125836000.0,136469000.0,16127.0,75299.0,16174.0,31110.0,98838.0,205842.0,2692.0,3007.0,2556.0,2806.0,18722.0,20234.0,88199000.0,-32269000.0,11572282.0,-56043364.0,324809000.0,292540000.0,188340000.0,78505000.0,,27419716.0,239141515.0,239141515.0,35697452.0,2,,77571794.0,4306977.0,49268.0,,11418
14,15948000.0,26548000.0,0.437,38883345.0,33938000.0,STH,BROOKLYN,232423768.0,842263.0,999749.0,2295862.0,0.36,KINGS,,3218703.0,3732714.0,8385383.0,25820469.0,2014-01-01T00:00:00.000,2014-12-31T00:00:00.000,,569.0,50056000.0,232423768.0,3097834.0,NY COMMUNITY HOSPITAL OF BROOKLYN,127.0,46355.0,22598.0,3051.0,37497.0,3851.0,509.0,7000.0,194992785.0,194992785.0,1429000.0,,61862.0,21500.0,,-12095000.0,139258604.0,91529164.0,31963000.0,6748763.0,40062055.0,35644.0,,,1375000.0,1636000.0,93165164.0,11192768.0,435.0,,,,134.0,134.0,4.0,11379860.0,1115000.0,1264000.0,26395000.0,2492570.0,37430983.0,37430983.0,48792367.0,,923000.0,330019,2,U,3347000.0,3414.0,NY,2525 KINGS HIGHWAY,15140000.0,97010000.0,2550000.0,48910.0,48910.0,83434188.0,67002000.0,20559000.0,3185.0,3185.0,24098.0,24098.0,39854.0,39854.0,509.0,509.0,3851.0,3851.0,7000.0,7000.0,18628140.0,50056000.0,,3994000.0,46954000.0,97010000.0,26395000.0,11379860.0,2619000.0,2358000.0,42736797.0,42736797.0,5444465.0,2,,16715885.0,28985.0,111730.0,,11229
15,39119000.0,88889000.0,0.076,258337000.0,24245000.0,STH,POUGHKEEPSIE,1322642033.0,8303666.0,6870572.0,13051651.0,0.28,DUTCHESS,,25855218.0,1469601.0,19441433.0,58007916.0,2014-01-01T00:00:00.000,2014-12-31T00:00:00.000,3746000.0,1683.0,236701000.0,1344354540.0,,VASSAR BROTHERS MEDICAL CENTER,325.0,118625.0,38346.0,3248.0,80040.0,7278.0,696.0,17998.0,764423450.0,765633590.0,,8618000.0,5830000.0,2917000.0,,-39203000.0,899266299.0,414455341.0,253280000.0,,199431616.0,39100.0,,,50039062.0,30632900.0,445088241.0,49191715.0,,9521000.0,104139000.0,,365.0,365.0,,43483000.0,1069000.0,11207000.0,97776000.0,2398479.0,579931090.0,557008443.0,292948432.0,,11161000.0,330023,2,U,,,NY,45 READE PLACE,134289000.0,525497000.0,18591052.0,133225.0,133225.0,372081074.0,251407000.0,73364000.0,5319.0,5319.0,41984.0,41984.0,96480.0,96480.0,696.0,696.0,7278.0,7278.0,17998.0,17998.0,221989000.0,250218000.0,,47627671.0,275279000.0,525497000.0,201915000.0,52101000.0,-2411391.0,16994771.0,123491674.0,123491674.0,18807292.0,2,,43061194.0,,20541.0,,12601
16,144104000.0,295302000.0,0.27,485275000.0,289456000.0,STH,NEW YORK,4647875614.0,2275279.0,31268381.0,48145751.0,0.33,MANHATTAN,23027000.0,132366505.0,13156406.0,49745002.0,145453893.0,2014-01-01T00:00:00.000,2014-12-31T00:00:00.000,564449000.0,8972.0,1346951000.0,4623061188.0,,MOUNT SINAI HOSPITAL,898.0,330998.0,88403.0,19558.0,291784.0,14648.0,3038.0,56209.0,3270349620.0,3295164048.0,30816000.0,816912000.0,34652000.0,14965000.0,,-54510000.0,2695354940.0,1943172151.0,714170000.0,90127830.0,1277378154.0,35614.0,98648000.0,585863000.0,114712000.0,-15465903.0,1927706248.0,327403575.0,1977744.0,,,,1022.0,1167.0,798.0,334984000.0,180825000.0,70529000.0,632546000.0,13968616.0,1352711568.0,1352711566.0,1223766010.0,,,330024,5,U,107673000.0,8068038.0,NY,ONE GUSTAVE L. LEVY PLACE,188176000.0,2910693000.0,13885368.0,376258.0,429183.0,1552891759.0,962838000.0,345333000.0,22320.0,33698.0,92688.0,104485.0,333209.0,377480.0,3038.0,3943.0,14648.0,15420.0,56209.0,59429.0,795959000.0,1346951000.0,89641097.0,37653345.0,1563742000.0,2910693000.0,1218409000.0,1151896000.0,-77058655.0,53119248.0,719406141.0,719406141.0,147258907.0,2,,203216499.0,9951720.0,,,10029
17,41603565.0,394835734.0,0.388,229218642.0,64157576.0,STH,EAST MEADOW,871307674.0,2467490.0,21872729.0,36086779.0,0.38,NASSAU,,23256398.0,2621475.0,6763350.0,20290048.0,2014-01-01T00:00:00.000,2014-12-31T00:00:00.000,110895538.0,2445.0,-417843578.0,871307674.0,,NASSAU UNIVERSITY MEDICAL CENTER,295.0,107675.0,13554.0,18446.0,68725.0,3252.0,8252.0,17310.0,712367645.0,710503510.0,7546916.0,22734596.0,12498000.0,17032962.0,,-333898132.0,479349062.0,457105063.0,180201493.0,10836157.0,397546059.0,35644.0,25192408.0,193930254.0,5416935.0,-65146451.0,391958612.0,94915660.0,1449872.0,13148173.0,,,372.0,530.0,259.0,23656664.0,22730984.0,53634605.0,424228226.0,865960.0,158940029.0,160804164.0,253180318.0,,1828721.0,330027,1,U,77295898.0,6747403.0,NY,2201 HEMPSTEAD TPKE,,406338466.0,37341306.0,135780.0,193450.0,327750067.0,172799051.0,206023564.0,21014.0,36923.0,16266.0,28526.0,84724.0,130568.0,8252.0,9124.0,3252.0,3736.0,17310.0,19500.0,187148155.0,-417843578.0,11970674.0,5416935.0,824182044.0,406338466.0,618158480.0,46391260.0,,70563386.0,203924745.0,203924745.0,75114389.0,9,,69058711.0,8767278.0,1426106.0,,11554
18,24008337.0,28390064.0,0.289,27641000.0,41509528.0,STH,STATEN ISLAND,873295061.0,,9943613.0,14556930.0,0.29,RICHMOND,710284.0,8069789.0,1943849.0,6426133.0,20469034.0,2014-01-01T00:00:00.000,2014-12-31T00:00:00.000,,1938.0,40485430.0,873452680.0,,RICHMOND UNIVERSITY MEDICAL CENTER,238.0,86935.0,14221.0,6294.0,56779.0,2506.0,1213.0,13653.0,561933575.0,561933575.0,4747720.0,,3516364.0,230062.0,,,599355635.0,300366986.0,34932796.0,19778700.0,294182850.0,35644.0,,,7449206.0,-26269941.0,274097045.0,70906367.0,,5515130.0,8960784.0,,283.0,348.0,133.0,13142263.0,5241095.0,5689755.0,55977157.0,385695.0,311519105.0,311361486.0,150868050.0,,762127.0,330028,4,U,10592169.0,,NY,355 BARD AVENUE,,151939046.0,14665514.0,103360.0,125970.0,251023727.0,95437536.0,46515675.0,8245.0,17942.0,16447.0,21702.0,73699.0,94311.0,1213.0,1671.0,2506.0,2791.0,13653.0,14968.0,43359247.0,40485430.0,9698643.0,7449206.0,111453616.0,151939046.0,64937941.0,13142263.0,,33719147.0,149498936.0,149498936.0,18369898.0,2,,38954527.0,4091758.0,395672.0,,10310
19,2319336.0,9926650.0,0.158,58307565.0,11544936.0,STH,NEWARK,253325326.0,467289.0,2416266.0,5150077.0,0.33,WAYNE,,3803713.0,319581.0,2240342.0,5845184.0,2014-01-01T00:00:00.000,2014-12-31T00:00:00.000,2307081.0,624.0,45991482.0,260722187.0,,NEWARK WAYNE COMMUNITY HOSPITAL,96.0,35040.0,5539.0,429.0,14482.0,1273.0,164.0,4346.0,119951161.0,118298946.0,1603282.0,,56981.0,985789.0,,-3390000.0,166467332.0,91515288.0,31047176.0,,79760521.0,40380.0,952941.0,13635000.0,6772983.0,2739567.0,94254855.0,33246543.0,,,,,104.0,300.0,,27662632.0,85402.0,18499863.0,30929828.0,307987.0,140771026.0,135026380.0,49760767.0,1600000.0,1438682.0,330030,2,U,2002717.0,,NY,DRIVING PARK,33868146.0,117622433.0,3467453.0,37960.0,109500.0,83608872.0,57629707.0,24421916.0,855.0,52812.0,6161.0,10292.0,18588.0,85407.0,164.0,250.0,1273.0,1354.0,4346.0,4753.0,32330094.0,48635689.0,,5573658.0,68986744.0,117622433.0,44564828.0,27662632.0,-1199325.0,2834091.0,41754521.0,41754521.0,5150077.0,2,,7086966.0,,37776.0,,14513
20,3995500.0,9515716.0,0.102,25083331.0,4448804.0,STH,NORWICH,164127152.0,217655.0,340630.0,2741794.0,0.3,CHENANGO,,2497457.0,89340.0,931101.0,2558754.0,2014-01-01T00:00:00.000,2014-12-31T00:00:00.000,1085536.0,432.0,4064776.0,193127453.0,,CHENANGO MEMORIAL HOSPITAL,53.0,19345.0,2350.0,101.0,5034.0,599.0,47.0,1500.0,45650386.0,46728448.0,417943.0,,167753.0,1716934.0,,,127988697.0,65247541.0,30931317.0,,40192288.0,30000.0,,,1908497.0,-108785.0,65138756.0,9485480.0,,1345404.0,2831860.0,,58.0,138.0,,12073094.0,,4885737.0,13027059.0,322337.0,147477067.0,117398704.0,45534522.0,,786917.0,330033,2,R,1174872.0,,NY,179 N. BROAD ST.,111340.0,40673587.0,7910212.0,21170.0,50370.0,49762044.0,15280720.0,13426652.0,211.0,18057.0,2542.0,3823.0,6427.0,33328.0,47.0,47.0,599.0,599.0,1500.0,1500.0,13319773.0,11388016.0,,1908497.0,29285571.0,40673587.0,15858919.0,12073094.0,,2017282.0,19713019.0,19713019.0,3594510.0,2,,6742972.0,,7881.0,,13815
